device, pi
F0-25-72-7D-6F-62 = -61
F0-25-72-7D-6F-64 = -63
F0-25-72-7D-6F-66 = -63
F0-25-72-7D-88-70 = -51
F0-25-72-7D-88-72 = -51
F0-25-72-7D-88-74 = -53
F0-25-72-7D-88-76 = -51
F0-25-72-7D-8A-C0 = -65
F0-25-72-7D-8A-C2 = -65
F0-25-72-7D-8A-C4 = -65
F0-25-72-7D-8A-C6 = -65
F0-25-72-7D-8B-34 = -63
F0-25-72-7D-8B-36 = -65
F0-25-72-7D-EA-44 = -63
F0-25-72-7D-EB-80 = -63
F0-25-72-7D-EB-82 = -67
F0-25-72-7D-EB-84 = -67
F0-25-72-7D-EB-86 = -67
---------------------
00-22-75-43-1E-48 = -81
00-22-75-43-1F-68 = -67
00-22-75-43-25-9C = -71
00-25-9C-52-91-1D = -73
56-5A-04-2F-2C-A1 = -75
6C-B0-CE-ED-2B-BB = -49
F0-25-72-70-9E-70 = -73
F0-25-72-70-9E-74 = -73
F0-25-72-70-A5-62 = -71
F0-25-72-70-B6-70 = -63
F0-25-72-70-B6-72 = -67
F0-25-72-70-B6-74 = -67
F0-25-72-70-B6-76 = -65
F0-25-72-70-C3-66 = -65
F0-25-72-7D-19-F2 = -69
F0-25-72-7D-19-F4 = -69
F0-25-72-7D-19-F6 = -69
F0-25-72-7D-4F-34 = -75
F0-25-72-7D-56-B0 = -65
F0-25-72-7D-56-B2 = -69
F0-25-72-7D-56-B6 = -69
F0-25-72-7D-6F-60 = -61
F0-25-72-7D-6F-62 = -55
F0-25-72-7D-6F-64 = -63
F0-25-72-7D-6F-66 = -55
F0-25-72-7D-88-70 = -55
F0-25-72-7D-88-72 = -53
F0-25-72-7D-88-74 = -55
F0-25-72-7D-88-76 = -53
F0-25-72-7D-8A-C0 = -69
F0-25-72-7D-8A-C2 = -69
F0-25-72-7D-8A-C4 = -69
F0-25-72-7D-8A-C6 = -69
F0-25-72-7D-8B-34 = -51
F0-25-72-7D-EA-40 = -57
F0-25-72-7D-EA-42 = -57
F0-25-72-7D-EA-44 = -59
F0-25-72-7D-EB-80 = -63
F0-25-72-7D-EB-82 = -67
F0-25-72-7D-EB-84 = -67
F0-25-72-7D-EB-86 = -67
---------------------
00-22-75-43-1F-68 = -69
00-22-75-43-25-9C = -71
00-25-9C-52-91-1D = -73
56-5A-04-2F-2C-A1 = -69
6C-B0-CE-ED-2B-BB = -53
F0-25-72-70-A5-66 = -73
F0-25-72-70-B6-70 = -63
F0-25-72-70-B6-72 = -65
F0-25-72-70-B6-74 = -67
F0-25-72-70-B6-76 = -65
F0-25-72-70-C3-60 = -63
F0-25-72-70-C3-64 = -63
F0-25-72-70-C3-66 = -65
F0-25-72-7D-19-F0 = -65
F0-25-72-7D-19-F2 = -65
F0-25-72-7D-19-F4 = -69
F0-25-72-7D-19-F6 = -67
F0-25-72-7D-56-B0 = -65
F0-25-72-7D-56-B2 = -69
F0-25-72-7D-56-B4 = -71
F0-25-72-7D-56-B6 = -69
F0-25-72-7D-6F-62 = -57
F0-25-72-7D-6F-64 = -57
F0-25-72-7D-6F-66 = -55
F0-25-72-7D-88-70 = -55
F0-25-72-7D-88-72 = -53
F0-25-72-7D-88-74 = -55
F0-25-72-7D-88-76 = -65
F0-25-72-7D-8A-C2 = -69
F0-25-72-7D-8A-C4 = -67
F0-25-72-7D-8A-C6 = -71
F0-25-72-7D-8B-32 = -55
F0-25-72-7D-8B-34 = -53
F0-25-72-7D-8B-36 = -53
F0-25-72-7D-EA-40 = -57
F0-25-72-7D-EA-42 = -65
F0-25-72-7D-EA-44 = -63
F0-25-72-7D-EA-46 = -63
F0-25-72-7D-EB-82 = -67
F0-25-72-7D-EB-84 = -67
F0-25-72-7D-EB-86 = -67
---------------------
========== [FLAGGED] =============
00-22-75-43-1F-68 = -73
00-25-9C-52-91-1D = -71
6C-B0-CE-ED-2B-BB = -53
F0-25-72-70-9E-74 = -73
F0-25-72-70-A5-62 = -69
F0-25-72-70-A5-66 = -71
F0-25-72-70-B6-72 = -61
F0-25-72-70-B6-76 = -63
F0-25-72-7D-19-F4 = -65
F0-25-72-7D-19-F6 = -65
F0-25-72-7D-56-B0 = -69
F0-25-72-7D-56-B2 = -69
F0-25-72-7D-56-B4 = -69
F0-25-72-7D-6F-64 = -51
F0-25-72-7D-71-00 = -77
F0-25-72-7D-88-70 = -51
F0-25-72-7D-88-72 = -49
F0-25-72-7D-88-74 = -49
F0-25-72-7D-89-44 = -75
F0-25-72-7D-8A-C0 = -67
F0-25-72-7D-8A-C4 = -67
F0-25-72-7D-8B-34 = -61
F0-25-72-7D-EA-40 = -63
F0-25-72-7D-EA-42 = -65
F0-25-72-7D-EA-44 = -63
F0-25-72-7D-EA-46 = -63
F0-25-72-7D-EB-84 = -67
---------------------
00-22-75-43-1F-68 = -67
00-25-9C-52-91-1D = -71
56-5A-04-2F-2C-A1 = -67
B4-18-D1-E0-33-DE = -69
F0-25-72-70-B6-70 = -65
F0-25-72-70-B6-72 = -65
F0-25-72-70-B6-74 = -67
F0-25-72-70-B6-76 = -67
F0-25-72-70-C3-62 = -73
F0-25-72-70-C3-64 = -73
F0-25-72-7D-19-F0 = -63
F0-25-72-7D-19-F2 = -61
F0-25-72-7D-19-F4 = -63
F0-25-72-7D-19-F6 = -65
F0-25-72-7D-4F-30 = -73
F0-25-72-7D-56-B0 = -65
F0-25-72-7D-56-B2 = -69
F0-25-72-7D-56-B4 = -63
F0-25-72-7D-56-B6 = -63
F0-25-72-7D-6F-64 = -67
F0-25-72-7D-71-00 = -75
F0-25-72-7D-71-04 = -77
F0-25-72-7D-71-06 = -77
F0-25-72-7D-88-70 = -49
F0-25-72-7D-88-72 = -49
F0-25-72-7D-88-74 = -49
F0-25-72-7D-89-44 = -75
F0-25-72-7D-8A-C0 = -67
F0-25-72-7D-8A-C4 = -69
F0-25-72-7D-8B-32 = -57
F0-25-72-7D-8B-34 = -55
F0-25-72-7D-8B-36 = -57
F0-25-72-7D-EA-40 = -63
F0-25-72-7D-EA-42 = -63
F0-25-72-7D-EA-44 = -63
F0-25-72-7D-EA-46 = -63
F0-25-72-7D-EB-82 = -61
F0-25-72-7D-EB-84 = -63
---------------------
00-22-75-43-1F-68 = -65
00-22-75-43-25-9C = -71
00-25-9C-52-91-1D = -69
02-11-87-A5-5A-72 = -73
56-5A-04-2F-2C-A1 = -67
6C-B0-CE-ED-2B-BB = -65
B4-18-D1-E0-33-DE = -69
F0-25-72-70-B6-70 = -67
F0-25-72-70-B6-72 = -65
F0-25-72-70-B6-74 = -67
F0-25-72-70-B6-76 = -67
F0-25-72-7D-19-F6 = -63
F0-25-72-7D-4F-36 = -73
F0-25-72-7D-56-B0 = -63
F0-25-72-7D-56-B4 = -63
F0-25-72-7D-56-B6 = -63
F0-25-72-7D-6F-62 = -51
F0-25-72-7D-6F-64 = -51
F0-25-72-7D-71-00 = -75
F0-25-72-7D-71-04 = -77
F0-25-72-7D-71-06 = -77
F0-25-72-7D-88-70 = -47
F0-25-72-7D-88-72 = -49
F0-25-72-7D-88-74 = -49
F0-25-72-7D-88-76 = -49
F0-25-72-7D-8A-C0 = -67
F0-25-72-7D-8A-C2 = -65
F0-25-72-7D-8A-C4 = -67
F0-25-72-7D-8A-C6 = -65
F0-25-72-7D-8B-30 = -57
F0-25-72-7D-EA-40 = -61
F0-25-72-7D-EA-42 = -59
F0-25-72-7D-EA-44 = -61
F0-25-72-7D-EA-46 = -63
F0-25-72-7D-EB-82 = -67
F0-25-72-7D-EB-84 = -67
F0-25-72-7D-EB-86 = -65
---------------------
00-22-75-43-1F-68 = -67
00-22-75-43-25-9C = -71
00-25-9C-52-91-1D = -75
56-5A-04-2F-2C-A1 = -67
6C-B0-CE-ED-2B-BB = -61
F0-25-72-70-B6-70 = -67
F0-25-72-70-B6-72 = -67
F0-25-72-70-B6-74 = -67
F0-25-72-70-B6-76 = -67
F0-25-72-70-C3-60 = -73
F0-25-72-7D-19-F0 = -65
F0-25-72-7D-19-F4 = -63
F0-25-72-7D-56-B0 = -65
F0-25-72-7D-56-B2 = -67
F0-25-72-7D-56-B4 = -65
F0-25-72-7D-56-B6 = -65
F0-25-72-7D-6F-62 = -51
F0-25-72-7D-6F-64 = -51
F0-25-72-7D-71-00 = -75
F0-25-72-7D-71-02 = -77
F0-25-72-7D-88-70 = -49
F0-25-72-7D-88-72 = -49
F0-25-72-7D-88-74 = -49
F0-25-72-7D-88-76 = -49
F0-25-72-7D-89-40 = -79
F0-25-72-7D-89-46 = -79
F0-25-72-7D-8A-C2 = -65
F0-25-72-7D-8A-C4 = -69
F0-25-72-7D-8A-C6 = -69
F0-25-72-7D-8B-30 = -57
F0-25-72-7D-8B-32 = -53
F0-25-72-7D-8B-34 = -57
F0-25-72-7D-8B-36 = -59
F0-25-72-7D-EA-40 = -61
F0-25-72-7D-EA-42 = -61
F0-25-72-7D-EA-44 = -63
F0-25-72-7D-EA-46 = -61
F0-25-72-7D-EB-80 = -65
F0-25-72-7D-EB-82 = -67
F0-25-72-7D-EB-84 = -65
F0-25-72-7D-EB-86 = -65
---------------------
00-22-75-43-1F-68 = -65
00-25-9C-52-91-1D = -75
56-5A-04-2F-2C-A1 = -71
6C-B0-CE-ED-2B-BB = -61
F0-25-72-70-B6-70 = -67
F0-25-72-70-B6-72 = -67
F0-25-72-70-B6-74 = -67
F0-25-72-70-B6-76 = -65
F0-25-72-70-C3-66 = -71
F0-25-72-7D-19-F2 = -67
F0-25-72-7D-19-F4 = -67
F0-25-72-7D-4F-32 = -71
F0-25-72-7D-4F-34 = -71
F0-25-72-7D-56-B0 = -65
F0-25-72-7D-56-B2 = -67
F0-25-72-7D-56-B4 = -65
F0-25-72-7D-56-B6 = -67
F0-25-72-7D-6F-62 = -51
F0-25-72-7D-6F-64 = -51
F0-25-72-7D-71-00 = -75
F0-25-72-7D-71-02 = -79
F0-25-72-7D-88-70 = -51
F0-25-72-7D-88-72 = -51
F0-25-72-7D-88-74 = -51
F0-25-72-7D-88-76 = -51
F0-25-72-7D-89-40 = -79
F0-25-72-7D-89-46 = -79
F0-25-72-7D-8A-C0 = -63
F0-25-72-7D-8A-C4 = -63
F0-25-72-7D-8A-C6 = -69
F0-25-72-7D-8B-34 = -53
F0-25-72-7D-8B-36 = -53
F0-25-72-7D-EA-42 = -61
F0-25-72-7D-EA-44 = -63
F0-25-72-7D-EA-46 = -61
F0-25-72-7D-EB-80 = -65
F0-25-72-7D-EB-86 = -67
---------------------
00-22-75-43-1F-68 = -65
00-25-9C-52-91-1D = -69
02-11-87-A5-5A-72 = -69
56-5A-04-2F-2C-A1 = -71
6C-B0-CE-ED-2B-BB = -55
B4-18-D1-E0-33-DE = -73
F0-25-72-70-B6-70 = -63
F0-25-72-70-B6-72 = -67
F0-25-72-70-B6-74 = -65
F0-25-72-70-B6-76 = -67
F0-25-72-70-C3-64 = -71
F0-25-72-7D-19-F0 = -61
F0-25-72-7D-19-F4 = -59
F0-25-72-7D-19-F6 = -61
F0-25-72-7D-4F-30 = -71
F0-25-72-7D-56-B4 = -67
F0-25-72-7D-56-B6 = -67
F0-25-72-7D-6F-60 = -55
F0-25-72-7D-6F-66 = -57
F0-25-72-7D-71-00 = -77
F0-25-72-7D-71-06 = -77
F0-25-72-7D-88-70 = -49
F0-25-72-7D-88-72 = -49
F0-25-72-7D-88-74 = -51
F0-25-72-7D-88-76 = -49
F0-25-72-7D-8A-C0 = -65
F0-25-72-7D-8A-C4 = -65
F0-25-72-7D-8B-34 = -55
F0-25-72-7D-EA-42 = -65
F0-25-72-7D-EA-44 = -63
F0-25-72-7D-EB-80 = -65
F0-25-72-7D-EB-82 = -65
F0-25-72-7D-EB-84 = -65
F0-25-72-7D-EB-86 = -65
---------------------
00-25-9C-52-91-1D = -69
56-5A-04-2F-2C-A1 = -71
6C-B0-CE-ED-2B-BB = -55
B4-18-D1-E0-33-DE = -73
F0-25-72-70-B6-70 = -65
F0-25-72-70-B6-72 = -67
F0-25-72-70-B6-74 = -65
F0-25-72-70-B6-76 = -65
F0-25-72-70-C3-62 = -73
F0-25-72-70-C3-64 = -73
F0-25-72-7D-19-F0 = -61
F0-25-72-7D-19-F4 = -65
F0-25-72-7D-19-F6 = -63
F0-25-72-7D-4F-30 = -73
F0-25-72-7D-4F-34 = -73
F0-25-72-7D-56-B2 = -67
F0-25-72-7D-56-B4 = -67
F0-25-72-7D-56-B6 = -67
F0-25-72-7D-6F-64 = -61
F0-25-72-7D-6F-66 = -57
F0-25-72-7D-71-00 = -79
F0-25-72-7D-71-04 = -79
F0-25-72-7D-71-06 = -77
F0-25-72-7D-88-70 = -49
F0-25-72-7D-88-72 = -49
F0-25-72-7D-88-74 = -47
F0-25-72-7D-88-76 = -49
F0-25-72-7D-8A-C0 = -65
F0-25-72-7D-8B-32 = -55
F0-25-72-7D-8B-34 = -57
F0-25-72-7D-8B-36 = -55
F0-25-72-7D-EA-42 = -63
F0-25-72-7D-EA-46 = -63
F0-25-72-7D-EB-82 = -65
F0-25-72-7D-EB-84 = -63
F0-25-72-7D-EB-86 = -65
---------------------
00-22-75-43-1F-68 = -69
00-22-75-43-25-9C = -73
00-25-9C-52-91-1D = -73
56-5A-04-2F-2C-A1 = -67
6C-B0-CE-ED-2B-BB = -55
F0-25-72-70-9E-70 = -77
F0-25-72-70-A5-62 = -73
F0-25-72-70-A5-64 = -71
F0-25-72-70-B6-70 = -59
F0-25-72-70-B6-72 = -61
F0-25-72-70-B6-76 = -61
F0-25-72-7D-19-F0 = -61
F0-25-72-7D-19-F4 = -63
F0-25-72-7D-19-F6 = -63
F0-25-72-7D-4F-36 = -73
F0-25-72-7D-56-B2 = -69
F0-25-72-7D-56-B4 = -69
F0-25-72-7D-56-B6 = -69
F0-25-72-7D-6F-60 = -53
F0-25-72-7D-6F-62 = -53
F0-25-72-7D-6F-64 = -51
F0-25-72-7D-71-00 = -79
F0-25-72-7D-71-04 = -79
F0-25-72-7D-88-70 = -51
F0-25-72-7D-88-72 = -49
F0-25-72-7D-88-74 = -47
F0-25-72-7D-88-76 = -47
F0-25-72-7D-89-46 = -75
F0-25-72-7D-8A-C0 = -67
F0-25-72-7D-8A-C2 = -69
F0-25-72-7D-8A-C4 = -67
F0-25-72-7D-8A-C6 = -69
F0-25-72-7D-8B-30 = -61
F0-25-72-7D-EA-40 = -63
F0-25-72-7D-EA-42 = -61
F0-25-72-7D-EA-44 = -61
F0-25-72-7D-EA-46 = -61
F0-25-72-7D-EB-84 = -63
---------------------
00-22-75-43-1F-68 = -69
00-22-75-43-25-9C = -71
00-25-9C-52-91-1D = -73
02-11-87-A5-5A-72 = -73
56-5A-04-2F-2C-A1 = -73
F0-25-72-70-B6-70 = -57
F0-25-72-70-B6-72 = -61
F0-25-72-70-B6-74 = -57
F0-25-72-70-B6-76 = -61
F0-25-72-70-C3-60 = -67
F0-25-72-7D-19-F0 = -59
F0-25-72-7D-19-F2 = -59
F0-25-72-7D-19-F4 = -59
F0-25-72-7D-19-F6 = -59
F0-25-72-7D-56-B2 = -69
F0-25-72-7D-56-B4 = -69
F0-25-72-7D-56-B6 = -69
F0-25-72-7D-6F-60 = -53
F0-25-72-7D-6F-62 = -53
F0-25-72-7D-6F-64 = -55
F0-25-72-7D-88-70 = -51
F0-25-72-7D-88-72 = -49
F0-25-72-7D-88-74 = -49
F0-25-72-7D-88-76 = -49
F0-25-72-7D-89-44 = -73
F0-25-72-7D-89-46 = -75
F0-25-72-7D-8A-C2 = -67
F0-25-72-7D-8A-C6 = -71
F0-25-72-7D-8B-30 = -65
F0-25-72-7D-8B-34 = -65
F0-25-72-7D-EA-40 = -63
F0-25-72-7D-EA-42 = -63
F0-25-72-7D-EA-44 = -63
F0-25-72-7D-EA-46 = -63
F0-25-72-7D-EB-84 = -65
---------------------
00-22-75-43-1F-68 = -63
00-22-75-43-25-9C = -71
00-25-9C-52-91-1D = -71
56-5A-04-2F-2C-A1 = -69
6C-B0-CE-ED-2B-BB = -49
B4-18-D1-E0-33-DE = -69
F0-25-72-70-A5-60 = -73
F0-25-72-70-B6-70 = -57
F0-25-72-70-B6-74 = -57
F0-25-72-70-B6-76 = -61
F0-25-72-7D-19-F0 = -57
F0-25-72-7D-19-F2 = -63
F0-25-72-7D-19-F4 = -61
F0-25-72-7D-19-F6 = -65
F0-25-72-7D-4F-32 = -75
F0-25-72-7D-56-B0 = -71
F0-25-72-7D-56-B2 = -71
F0-25-72-7D-56-B4 = -69
F0-25-72-7D-6F-60 = -53
F0-25-72-7D-6F-66 = -55
F0-25-72-7D-88-70 = -51
F0-25-72-7D-88-72 = -49
F0-25-72-7D-88-74 = -53
F0-25-72-7D-88-76 = -51
F0-25-72-7D-89-42 = -77
F0-25-72-7D-89-44 = -73
F0-25-72-7D-89-46 = -75
F0-25-72-7D-8A-C2 = -65
F0-25-72-7D-8A-C4 = -67
F0-25-72-7D-8A-C6 = -67
F0-25-72-7D-8B-34 = -55
F0-25-72-7D-8B-36 = -59
F0-25-72-7D-EA-40 = -65
F0-25-72-7D-EA-42 = -63
F0-25-72-7D-EA-44 = -65
F0-25-72-7D-EA-46 = -63
F0-25-72-7D-EB-80 = -61
F0-25-72-7D-EB-84 = -65
F0-25-72-7D-EB-86 = -63
---------------------
00-22-75-43-1F-68 = -67
00-25-9C-52-91-1D = -69
56-5A-04-2F-2C-A1 = -65
6C-B0-CE-ED-2B-BB = -47
B4-18-D1-E0-33-DE = -77
F0-25-72-70-A5-62 = -75
F0-25-72-70-A5-66 = -75
F0-25-72-70-B6-70 = -65
F0-25-72-70-B6-72 = -63
F0-25-72-70-B6-74 = -63
F0-25-72-70-B6-76 = -61
F0-25-72-7D-19-F0 = -67
F0-25-72-7D-19-F2 = -67
F0-25-72-7D-19-F6 = -67
F0-25-72-7D-4F-30 = -73
F0-25-72-7D-56-B0 = -71
F0-25-72-7D-56-B2 = -71
F0-25-72-7D-56-B4 = -69
F0-25-72-7D-6F-62 = -55
F0-25-72-7D-6F-64 = -55
F0-25-72-7D-71-00 = -75
F0-25-72-7D-71-02 = -75
F0-25-72-7D-88-70 = -47
F0-25-72-7D-88-72 = -47
F0-25-72-7D-88-74 = -49
F0-25-72-7D-88-76 = -47
F0-25-72-7D-89-42 = -77
F0-25-72-7D-89-44 = -77
F0-25-72-7D-89-46 = -75
F0-25-72-7D-8A-C2 = -69
F0-25-72-7D-8A-C4 = -67
F0-25-72-7D-8A-C6 = -67
F0-25-72-7D-8B-34 = -55
F0-25-72-7D-EA-40 = -65
F0-25-72-7D-EA-42 = -65
F0-25-72-7D-EA-44 = -65
F0-25-72-7D-EA-46 = -63
F0-25-72-7D-EB-80 = -65
F0-25-72-7D-EB-82 = -67
F0-25-72-7D-EB-84 = -67
F0-25-72-7D-EB-86 = -67
---------------------
00-22-75-43-1F-68 = -67
00-22-75-43-25-9C = -71
02-11-87-A5-5A-72 = -67
56-5A-04-2F-2C-A1 = -65
6C-B0-CE-ED-2B-BB = -45
B4-18-D1-E0-33-DE = -77
F0-25-72-70-A5-62 = -75
F0-25-72-70-A5-66 = -75
F0-25-72-70-B6-70 = -65
F0-25-72-70-B6-72 = -65
F0-25-72-70-B6-74 = -63
F0-25-72-70-B6-76 = -63
F0-25-72-7D-19-F0 = -65
F0-25-72-7D-19-F2 = -65
F0-25-72-7D-19-F4 = -65
F0-25-72-7D-19-F6 = -65
F0-25-72-7D-4F-30 = -73
F0-25-72-7D-4F-34 = -73
F0-25-72-7D-56-B4 = -67
F0-25-72-7D-6F-62 = -53
F0-25-72-7D-6F-64 = -55
F0-25-72-7D-71-00 = -73
F0-25-72-7D-71-02 = -75
F0-25-72-7D-71-04 = -75
F0-25-72-7D-88-70 = -47
F0-25-72-7D-88-72 = -47
F0-25-72-7D-88-74 = -47
F0-25-72-7D-88-76 = -47
F0-25-72-7D-89-44 = -77
F0-25-72-7D-8A-C2 = -71
F0-25-72-7D-8A-C4 = -67
F0-25-72-7D-8A-C6 = -67
F0-25-72-7D-8B-32 = -61
F0-25-72-7D-8B-36 = -61
F0-25-72-7D-EA-46 = -63
F0-25-72-7D-EB-82 = -65
F0-25-72-7D-EB-84 = -65
F0-25-72-7D-EB-86 = -65
---------------------
========== [FLAGGED] =============
00-22-75-43-1F-68 = -67
00-22-75-43-25-9C = -77
00-25-9C-52-91-1D = -65
56-5A-04-2F-2C-A1 = -65
6C-B0-CE-ED-2B-BB = -41
B4-18-D1-E0-33-DE = -67
F0-25-72-70-A5-60 = -61
F0-25-72-70-A5-62 = -61
F0-25-72-70-C5-B2 = -69
F0-25-72-7D-19-F0 = -49
F0-25-72-7D-19-F2 = -49
F0-25-72-7D-19-F4 = -51
F0-25-72-7D-19-F6 = -49
F0-25-72-7D-4F-32 = -67
F0-25-72-7D-4F-36 = -71
F0-25-72-7D-6F-66 = -67
F0-25-72-7D-80-D2 = -77
F0-25-72-7D-80-D6 = -77
F0-25-72-7D-88-72 = -47
F0-25-72-7D-88-74 = -47
F0-25-72-7D-8A-C0 = -53
F0-25-72-7D-8A-C2 = -53
F0-25-72-7D-8A-C4 = -53
F0-25-72-7D-8A-C6 = -55
F0-25-72-7D-8B-34 = -55
---------------------
00-25-9C-52-91-1D = -65
56-5A-04-2F-2C-A1 = -65
6C-B0-CE-ED-2B-BB = -41
B4-18-D1-E0-33-DE = -63
F0-25-72-70-A5-66 = -59
F0-25-72-70-B6-70 = -65
F0-25-72-70-B6-72 = -65
F0-25-72-70-B6-74 = -65
F0-25-72-70-B6-76 = -65
F0-25-72-70-C5-B2 = -71
F0-25-72-70-C5-B6 = -69
F0-25-72-7D-19-F0 = -49
F0-25-72-7D-19-F2 = -49
F0-25-72-7D-19-F4 = -49
F0-25-72-7D-56-B4 = -71
F0-25-72-7D-80-D2 = -77
F0-25-72-7D-80-D6 = -77
F0-25-72-7D-88-70 = -47
F0-25-72-7D-88-72 = -47
F0-25-72-7D-88-74 = -47
F0-25-72-7D-88-76 = -47
F0-25-72-7D-8A-C2 = -51
F0-25-72-7D-8A-C4 = -51
F0-25-72-7D-8A-C6 = -53
F0-25-72-7D-8B-30 = -69
F0-25-72-7D-8B-34 = -51
---------------------
00-25-9C-52-91-1D = -61
56-5A-04-2F-2C-A1 = -67
6C-B0-CE-ED-2B-BB = -41
B4-18-D1-E0-33-DE = -63
F0-25-72-70-B6-70 = -65
F0-25-72-70-B6-72 = -65
F0-25-72-70-B6-74 = -63
F0-25-72-70-B6-76 = -63
F0-25-72-70-C2-A2 = -71
F0-25-72-70-C2-A6 = -67
F0-25-72-7D-19-F0 = -45
F0-25-72-7D-19-F2 = -49
F0-25-72-7D-19-F4 = -47
F0-25-72-7D-4F-30 = -67
F0-25-72-7D-4F-34 = -67
F0-25-72-7D-56-B4 = -71
F0-25-72-7D-6F-66 = -73
F0-25-72-7D-80-D4 = -73
F0-25-72-7D-88-70 = -47
F0-25-72-7D-88-72 = -49
F0-25-72-7D-88-74 = -49
F0-25-72-7D-88-76 = -49
F0-25-72-7D-8A-C4 = -47
F0-25-72-7D-8B-32 = -51
F0-25-72-7D-8B-34 = -69
F0-25-72-7D-8B-36 = -51
F0-25-72-7D-FC-50 = -65
---------------------
00-25-9C-52-91-1D = -63
02-11-87-A5-5A-72 = -51
56-5A-04-2F-2C-A1 = -67
6C-B0-CE-ED-2B-BB = -37
B4-18-D1-E0-33-DE = -67
F0-25-72-70-A5-60 = -59
F0-25-72-70-A5-64 = -59
F0-25-72-70-A5-66 = -57
F0-25-72-70-B6-70 = -65
F0-25-72-70-B6-72 = -65
F0-25-72-70-B6-74 = -63
F0-25-72-70-B6-76 = -71
F0-25-72-70-C2-A0 = -71
F0-25-72-70-C2-A2 = -71
F0-25-72-70-C2-A4 = -73
F0-25-72-70-C2-A6 = -67
F0-25-72-7D-19-F0 = -45
F0-25-72-7D-19-F2 = -45
F0-25-72-7D-19-F4 = -45
F0-25-72-7D-19-F6 = -45
F0-25-72-7D-7C-A0 = -73
F0-25-72-7D-7C-A2 = -75
F0-25-72-7D-80-D4 = -73
F0-25-72-7D-88-70 = -49
F0-25-72-7D-88-72 = -49
F0-25-72-7D-88-74 = -47
F0-25-72-7D-88-76 = -49
F0-25-72-7D-8A-C0 = -49
F0-25-72-7D-8A-C2 = -49
F0-25-72-7D-8A-C4 = -63
F0-25-72-7D-8B-34 = -69
F0-25-72-7D-FC-52 = -63
---------------------
---------------------
---------------------
00-25-9C-52-91-1D = -65
02-11-87-A5-5A-72 = -51
56-5A-04-2F-2C-A1 = -67
6C-B0-CE-ED-2B-BB = -39
B4-18-D1-E0-33-DE = -55
F0-25-72-70-A5-64 = -59
F0-25-72-70-B6-70 = -67
F0-25-72-70-B6-72 = -63
F0-25-72-70-B6-76 = -63
F0-25-72-70-C5-B0 = -75
F0-25-72-7D-19-F0 = -47
F0-25-72-7D-19-F2 = -47
F0-25-72-7D-19-F4 = -45
F0-25-72-7D-19-F6 = -49
F0-25-72-7D-4F-34 = -67
F0-25-72-7D-4F-36 = -69
F0-25-72-7D-6F-60 = -65
F0-25-72-7D-6F-62 = -67
F0-25-72-7D-6F-64 = -65
F0-25-72-7D-6F-66 = -65
F0-25-72-7D-7C-A6 = -75
F0-25-72-7D-80-D4 = -77
F0-25-72-7D-88-70 = -49
F0-25-72-7D-88-72 = -47
F0-25-72-7D-88-74 = -49
F0-25-72-7D-88-76 = -47
F0-25-72-7D-8A-C0 = -51
F0-25-72-7D-8A-C2 = -51
F0-25-72-7D-8A-C4 = -51
F0-25-72-7D-8A-C6 = -49
F0-25-72-7D-8B-34 = -55
F0-25-72-7D-EA-42 = -71
F0-25-72-7D-FC-52 = -63
---------------------
00-25-9C-52-91-1D = -65
56-5A-04-2F-2C-A1 = -63
6C-B0-CE-ED-2B-BB = -39
B4-18-D1-E0-33-DE = -55
F0-25-72-70-B6-70 = -65
F0-25-72-70-B6-76 = -67
F0-25-72-70-C2-A6 = -71
F0-25-72-7D-19-F0 = -47
F0-25-72-7D-19-F2 = -47
F0-25-72-7D-19-F4 = -45
F0-25-72-7D-6F-60 = -71
F0-25-72-7D-6F-62 = -63
F0-25-72-7D-6F-64 = -65
F0-25-72-7D-7C-A6 = -75
F0-25-72-7D-80-D0 = -65
F0-25-72-7D-88-70 = -47
F0-25-72-7D-88-72 = -47
F0-25-72-7D-88-74 = -47
F0-25-72-7D-88-76 = -47
F0-25-72-7D-8A-C0 = -49
F0-25-72-7D-8A-C2 = -49
F0-25-72-7D-8A-C4 = -51
F0-25-72-7D-8A-C6 = -49
F0-25-72-7D-8B-30 = -61
F0-25-72-7D-8B-32 = -55
F0-25-72-7D-8B-34 = -59
F0-25-72-7D-8B-36 = -61
---------------------
00-22-75-43-25-9C = -77
00-25-9C-52-91-1D = -59
56-5A-04-2F-2C-A1 = -67
6C-B0-CE-ED-2B-BB = -39
B4-18-D1-E0-33-DE = -55
F0-25-72-70-A5-60 = -55
F0-25-72-70-B6-70 = -65
F0-25-72-70-B6-72 = -67
F0-25-72-70-B6-74 = -67
F0-25-72-70-B6-76 = -69
F0-25-72-70-C2-A4 = -71
F0-25-72-70-C2-A6 = -71
F0-25-72-7D-19-F0 = -53
F0-25-72-7D-19-F2 = -47
F0-25-72-7D-19-F4 = -47
F0-25-72-7D-4F-32 = -65
F0-25-72-7D-7C-A6 = -79
F0-25-72-7D-80-D0 = -65
F0-25-72-7D-88-70 = -47
F0-25-72-7D-88-72 = -49
F0-25-72-7D-88-74 = -49
F0-25-72-7D-88-76 = -49
F0-25-72-7D-8A-C0 = -51
F0-25-72-7D-8A-C2 = -47
F0-25-72-7D-8A-C4 = -49
F0-25-72-7D-8A-C6 = -49
F0-25-72-7D-8B-36 = -57
F0-25-72-7D-FC-50 = -65
---------------------
