   mean     std    e1    e2
   0.02    0.16  1.50 -1.00
   0.02    0.16  4.50 -3.00
   0.02    0.16  3.00 -2.00
   0.02    0.16  4.00 -2.50
   0.03    0.17  2.50 -1.50
   0.03    0.17  3.50 -2.00
   0.03    0.17  4.50 -2.50
   0.03    0.17  5.00 -3.00
   0.03    0.17  5.00 -2.50
   0.03    0.17  2.00 -1.00
   0.03    0.23  5.00 -4.50
   0.03    0.23  3.50 -3.00
   0.03    0.17  1.00 -0.50
   0.03    0.17  4.00 -2.00
   0.03    0.23  4.00 -3.50
   0.03    0.23  4.50 -4.00
   0.03    0.17  3.00 -1.50
   0.03    0.23  3.00 -2.50
   0.03    0.23  5.00 -4.00
   0.03    0.23  2.50 -2.00
   0.03    0.24  5.00 -3.50
   0.03    0.18  5.00 -2.00
   0.03    0.18  3.50 -1.50
   0.03    0.24  2.00 -1.50
   0.03    0.18  2.50 -1.00
   0.03    0.24  3.50 -2.50
   0.03    0.24  4.00 -3.00
   0.03    0.24  4.50 -3.50
   0.03    0.18  4.50 -2.00
   0.03    0.24  2.00 -2.00
   0.03    0.24  0.50 -0.50
   0.03    0.24  5.00 -5.00
   0.03    0.24  3.50 -3.50
   0.03    0.24  4.50 -4.50
   0.03    0.24  2.50 -2.50
   0.03    0.24  3.00 -3.00
   0.03    0.24  4.00 -4.00
   0.03    0.24  1.00 -1.00
   0.03    0.24  1.50 -1.50
   0.03    0.19  4.50 -1.50
   0.03    0.25  4.50 -5.00
   0.03    0.19  1.50 -0.50
   0.03    0.19  3.00 -1.00
   0.03    0.19  4.00 -1.50
   0.03    0.19  5.00 -1.50
   0.03    0.25  2.50 -3.00
   0.03    0.25  3.00 -3.50
   0.03    0.19  3.50 -1.00
   0.03    0.25  4.00 -5.00
   0.03    0.25  4.00 -4.50
   0.03    0.25  2.00 -2.50
   0.03    0.25  3.50 -4.00
   0.03    0.20  2.00 -0.50
   0.03    0.20  4.00 -1.00
   0.04    0.20  4.50 -1.00
   0.04    0.27  2.00 -3.00
   0.04    0.27  1.00 -1.50
   0.04    0.27  3.50 -4.50
   0.04    0.27  3.50 -5.00
   0.04    0.27  2.50 -3.50
   0.04    0.27  3.00 -4.00
   0.04    0.27  1.50 -2.00
   0.04    0.27  3.00 -4.50
   0.04    0.21  5.00 -1.00
   0.04    0.21  2.50 -0.50
   0.04    0.29  1.50 -2.50
   0.04    0.29  2.50 -4.00
   0.04    0.29  3.00 -5.00
   0.04    0.22  3.00 -0.50
   0.05    0.23  3.50 -0.50
