   mean     std    e1    e2
   0.24    0.90 -3.50  2.00
   0.24    0.90 -4.50  2.50
   0.25    0.93 -3.00  1.50
   0.25    0.93 -1.00  0.50
   0.25    0.93 -4.00  2.00
   0.25    0.93 -5.00  2.50
   0.25    0.93 -2.00  1.00
   0.27    0.97 -4.50  2.00
   0.27    0.98 -3.50  1.50
   0.28    0.99 -5.00  2.00
   0.28    0.99 -2.50  1.00
   0.30    1.03 -4.00  1.50
   0.33    1.07 -1.50  0.50
   0.33    1.07 -3.00  1.00
   0.33    1.07 -4.50  1.50
   0.34    1.09 -5.00  1.50
   0.35    1.11 -3.50  1.00
   0.37    0.90  2.00  0.00
   0.37    0.90  3.50  0.00
   0.37    0.90  1.00  0.00
   0.37    0.90  4.50  0.00
   0.37    0.90  4.00  0.00
   0.37    0.90  0.50  0.00
   0.37    0.90  3.00  0.00
   0.37    0.90  1.50  0.00
   0.37    0.90  2.50  0.00
   0.37    0.90  5.00  0.00
   0.39    1.17 -4.00  1.00
   0.39    1.17 -2.00  0.50
   0.39    1.17 -4.50  1.00
   0.41    1.19 -5.00  1.00
   0.41    1.19 -2.50  0.50
   0.44    1.22 -3.00  0.50
   0.46    1.24 -3.50  0.50
   0.49    1.27 -4.00  0.50
   0.53    1.30 -4.50  0.50
   0.55    1.33 -5.00  0.50
   3.93    1.28 -2.00  0.00
   3.93    1.28 -3.50  0.00
   3.93    1.28 -4.00  0.00
   3.93    1.28 -5.00  0.00
   3.93    1.28 -1.50  0.00
   3.93    1.28 -2.50  0.00
   3.93    1.28 -1.00  0.00
   3.93    1.28 -3.00  0.00
   3.93    1.28 -0.50  0.00
   3.93    1.28 -4.50  0.00
   4.39    1.09  2.00 -2.50
   4.39    1.09  3.50 -3.50
   4.39    1.09  2.00 -3.00
   4.39    1.09  2.00 -2.00
   4.39    1.09  2.50 -2.50
   4.39    1.09  2.50 -3.00
   4.39    1.09  2.50 -3.50
   4.39    1.09  2.50 -4.00
   4.39    1.09  2.50 -4.50
   4.39    1.09  2.50 -5.00
   4.39    1.09 -5.00 -4.50
   4.39    1.09  2.00 -1.50
   4.39    1.09  2.00 -1.00
   4.39    1.09  2.00 -0.50
   4.39    1.09  5.00 -4.00
   4.39    1.09  4.00 -5.00
   4.39    1.09  4.00 -4.50
   4.39    1.09  4.00 -4.00
   4.39    1.09  4.00 -3.50
   4.39    1.09  4.00 -3.00
   4.39    1.09  4.00 -2.50
   4.39    1.09  4.00 -2.00
   4.39    1.09  4.00 -1.50
   4.39    1.09  4.00 -1.00
   4.39    1.09  4.00 -0.50
   4.39    1.09  5.00 -2.50
   4.39    1.09  5.00 -3.00
   4.39    1.09  5.00 -3.50
   4.39    1.09  5.00 -2.00
   4.39    1.09  4.50 -5.00
   4.39    1.09  4.50 -4.50
   4.39    1.09  4.50 -4.00
   4.39    1.09  4.50 -3.50
   4.39    1.09  4.50 -3.00
   4.39    1.09  4.50 -2.50
   4.39    1.09  4.50 -2.00
   4.39    1.09  4.50 -1.50
   4.39    1.09  4.50 -1.00
   4.39    1.09  4.50 -0.50
   4.39    1.09  5.00 -5.00
   4.39    1.09  5.00 -4.50
   4.39    1.09  3.00 -0.50
   4.39    1.09  2.50 -1.50
   4.39    1.09  2.50 -1.00
   4.39    1.09  2.50 -0.50
   4.39    1.09  3.00 -5.00
   4.39    1.09  3.00 -4.50
   4.39    1.09  3.00 -4.00
   4.39    1.09  3.00 -3.50
   4.39    1.09  3.00 -3.00
   4.39    1.09  3.00 -2.50
   4.39    1.09  3.00 -2.00
   4.39    1.09  3.00 -1.50
   4.39    1.09  3.00 -1.00
   4.39    1.09  2.50 -2.00
   4.39    1.09  3.50 -5.00
   4.39    1.09  3.50 -4.50
   4.39    1.09  3.50 -4.00
   4.39    1.09  3.50 -3.00
   4.39    1.09  3.50 -2.50
   4.39    1.09  3.50 -2.00
   4.39    1.09  3.50 -1.50
   4.39    1.09  3.50 -1.00
   4.39    1.09  3.50 -0.50
   4.39    1.09  5.00 -0.50
   4.39    1.09  5.00 -1.00
   4.39    1.09  5.00 -1.50
   4.39    1.09 -3.00 -2.50
   4.39    1.09 -2.50 -3.50
   4.39    1.09 -2.50 -4.00
   4.39    1.09 -2.50 -4.50
   4.39    1.09 -2.50 -5.00
   4.39    1.09 -3.00 -0.50
   4.39    1.09 -3.00 -1.00
   4.39    1.09 -3.00 -1.50
   4.39    1.09 -3.00 -2.00
   4.39    1.09 -2.50 -3.00
   4.39    1.09 -3.00 -3.00
   4.39    1.09 -3.00 -3.50
   4.39    1.09 -3.00 -4.00
   4.39    1.09 -3.00 -4.50
   4.39    1.09 -3.00 -5.00
   4.39    1.09 -3.50 -0.50
   4.39    1.09 -3.50 -1.00
   4.39    1.09 -3.50 -1.50
   4.39    1.09 -2.00 -3.50
   4.39    1.09 -1.50 -4.50
   4.39    1.09 -1.50 -5.00
   4.39    1.09 -2.00 -0.50
   4.39    1.09 -2.00 -1.00
   4.39    1.09 -2.00 -1.50
   4.39    1.09 -2.00 -2.00
   4.39    1.09 -2.00 -2.50
   4.39    1.09 -2.00 -3.00
   4.39    1.09 -3.50 -2.00
   4.39    1.09 -2.00 -4.00
   4.39    1.09 -2.00 -4.50
   4.39    1.09 -2.00 -5.00
   4.39    1.09 -2.50 -0.50
   4.39    1.09 -2.50 -1.00
   4.39    1.09 -2.50 -1.50
   4.39    1.09 -2.50 -2.00
   4.39    1.09 -2.50 -2.50
   4.39    1.09 -5.00 -0.50
   4.39    1.09 -4.50 -1.50
   4.39    1.09 -4.50 -2.00
   4.39    1.09 -4.50 -2.50
   4.39    1.09 -4.50 -3.00
   4.39    1.09 -4.50 -3.50
   4.39    1.09 -4.50 -4.00
   4.39    1.09 -4.50 -4.50
   4.39    1.09 -4.50 -5.00
   4.39    1.09 -4.50 -1.00
   4.39    1.09 -5.00 -1.00
   4.39    1.09 -5.00 -1.50
   4.39    1.09 -5.00 -2.00
   4.39    1.09 -5.00 -2.50
   4.39    1.09 -5.00 -3.00
   4.39    1.09 -5.00 -3.50
   4.39    1.09 -5.00 -4.00
   4.39    1.09 -5.00 -5.00
   4.39    1.09 -4.00 -1.50
   4.39    1.09 -3.50 -2.50
   4.39    1.09 -3.50 -3.00
   4.39    1.09 -3.50 -3.50
   4.39    1.09 -3.50 -4.00
   4.39    1.09 -3.50 -4.50
   4.39    1.09 -3.50 -5.00
   4.39    1.09 -4.00 -0.50
   4.39    1.09 -4.00 -1.00
   4.39    1.09 -1.50 -4.00
   4.39    1.09 -4.00 -2.00
   4.39    1.09 -4.00 -2.50
   4.39    1.09 -4.00 -3.00
   4.39    1.09 -4.00 -3.50
   4.39    1.09 -4.00 -4.00
   4.39    1.09 -4.00 -4.50
   4.39    1.09 -4.00 -5.00
   4.39    1.09 -4.50 -0.50
   4.39    1.09  0.50 -2.00
   4.39    1.09  1.00 -3.00
   4.39    1.09  1.00 -3.50
   4.39    1.09  1.00 -4.00
   4.39    1.09  1.00 -4.50
   4.39    1.09  1.00 -5.00
   4.39    1.09  0.50 -0.50
   4.39    1.09  0.50 -1.00
   4.39    1.09  0.50 -1.50
   4.39    1.09  1.00 -2.50
   4.39    1.09  0.50 -2.50
   4.39    1.09  0.50 -3.00
   4.39    1.09  0.50 -3.50
   4.39    1.09  0.50 -4.00
   4.39    1.09  0.50 -4.50
   4.39    1.09  0.50 -5.00
   4.39    1.09  0.00 -0.50
   4.39    1.09  2.00 -3.50
   4.39    1.09  1.50 -3.00
   4.39    1.09  2.00 -4.00
   4.39    1.09  2.00 -4.50
