   mean     std    e1    e2
   0.04    0.25  5.00  4.50
   0.04    0.25  5.00  5.00
   0.04    0.25  5.00  4.00
   0.04    0.23  5.00  1.00
   0.04    0.25  4.50  1.50
   0.04    0.25  5.00  1.50
   0.04    0.27  4.50  5.00
   0.04    0.26  4.50  4.50
   0.04    0.23  4.50  1.00
   0.04    0.27  3.50  5.00
   0.04    0.26  4.00  4.00
   0.04    0.27  4.00  5.00
   0.04    0.25  4.50  3.50
   0.04    0.26  4.50  4.00
   0.04    0.25  5.00  2.00
   0.04    0.25  5.00  2.50
   0.04    0.25  5.00  3.00
   0.04    0.25  5.00  3.50
   0.04    0.26  4.50  3.00
   0.04    0.26  4.50  2.50
   0.04    0.26  4.50  2.00
   0.04    0.27  3.50  4.50
   0.04    0.27  4.00  4.50
   0.04    0.26  4.00  3.00
   0.04    0.26  4.00  2.50
   0.04    0.22  5.00  0.50
   0.04    0.27  3.50  4.00
   0.04    0.26  4.00  3.50
   0.04    0.24  4.00  1.00
   0.04    0.26  3.50  3.50
   0.04    0.26  3.50  3.00
   0.05    0.26  4.00  2.00
   0.05    0.26  4.00  1.50
   0.05    0.26  3.50  2.50
   0.05    0.29  3.00  4.50
   0.05    0.28  3.00  4.00
   0.05    0.29  3.00  5.00
   0.05    0.29  2.50  5.00
   0.05    0.29  2.50  4.50
   0.05    0.25  3.50  1.50
   0.05    0.27  3.50  2.00
   0.05    0.28  3.00  3.50
   0.05    0.27  3.00  3.00
   0.05    0.30  2.00  5.00
   0.05    0.30  2.50  4.00
   0.05    0.24  4.50  0.50
   0.05    0.25  3.50  1.00
   0.05    0.28  3.00  2.50
   0.05    0.30  2.00  4.50
   0.05    0.28  2.50  2.50
   0.05    0.29  2.50  3.50
   0.05    0.28  3.00  2.00
   0.06    0.30  1.50  4.50
   0.06    0.32  1.50  5.00
   0.06    0.26  3.00  1.50
   0.06    0.25  4.00  0.50
   0.06    0.31  2.00  4.00
   0.06    0.31  1.50  4.00
   0.06    0.26  3.00  1.00
   0.06    0.30  2.50  3.00
   0.06    0.33  1.00  5.00
   0.06    0.31  1.50  3.50
   0.06    0.33  1.00  4.50
   0.06    0.30  2.00  3.00
   0.06    0.31  2.00  3.50
   0.06    0.29  2.50  2.00
   0.06    0.30  2.00  2.50
   0.06    0.28  2.50  1.50
   0.06    0.34  0.50  5.00
   0.06    0.32  1.00  4.00
   0.07    0.28  2.50  1.00
   0.07    0.26  3.50  0.50
   0.07    0.34  0.50  4.50
   0.07    0.28  2.00  1.50
   0.07    0.31  1.50  2.50
   0.07    0.32  1.50  3.00
   0.07    0.30  2.00  2.00
   0.07    0.35  0.50  4.00
   0.07    0.33  1.00  3.50
   0.07    0.36  0.00  5.00
   0.07    0.34  0.50  3.50
