start,-12,44
f0:25:72:7d:ab:cd,eduroam,-78,48,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:ab:c9,attwifi,-78,48,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:0d:bd,eduroam,-79,46,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:0d:bf,PAL3.0,-80,44,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:0d:bb,Purdue Guest Network,-80,44,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:0d:b9,attwifi,-80,44,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:ab:cf,PAL3.0,-78,48,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:ab:c4,Purdue Guest Network,-70,66,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:0d:b4,Purdue Guest Network,-73,59,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:70:bd:44,Purdue Guest Network,-60,88,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:70:bd:4b,Purdue Guest Network,-59,90,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:70:bd:49,attwifi,-59,90,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:70:bd:4d,eduroam,-59,90,  TILE 0, ACC (xy) -0.56140137,0.15812683
00:18:f8:c9:99:96,helps,-82,39,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:70:bd:4f,PAL3.0,-59,90,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:75:2f,PAL3.0,-73,59,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:70:ab,Purdue Guest Network,-77,50,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:75:2b,Purdue Guest Network,-59,90,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:70:ad,eduroam,-75,55,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:0d:b2,eduroam,-73,59,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:fc:52,eduroam,-67,72,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:70:bd:40,PAL3.0,-61,85,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:75:29,attwifi,-74,57,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:75:2d,eduroam,-75,55,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:0d:b0,PAL3.0,-73,59,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:fc:50,PAL3.0,-68,70,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:70:a6,attwifi,-76,52,  TILE 0, ACC (xy) -0.56140137,0.15812683
20:aa:4b:04:7c:41,me-cart2,-89,24,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:70:a9,attwifi,-74,57,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:70:bd:42,eduroam,-60,88,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:70:af,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.56140137,0.15812683
c4:04:15:22:df:c4,NETGEAR94,-90,22,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:75:24,Purdue Guest Network,-76,52,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:12:0b:f4,Purdue Guest Network,-79,46,  TILE 0, ACC (xy) -0.56140137,0.15812683
f0:25:72:7d:79:0b,Purdue Guest Network,-87,28,  TILE 0, ACC (xy) -0.56140137,0.15812683
