f0:25:72:7d:8b:3b,Purdue Guest Network,-82,39,  TILE 0, ACC (xy) -0.69470215,1.5173187
f0:25:72:7d:71:04,Purdue Guest Network,-80,44,  TILE 0, ACC (xy) -0.69470215,1.5173187
f0:25:72:7d:71:06,attwifi,-81,41,  TILE 0, ACC (xy) -0.69470215,1.5173187

--------------------
f0:25:72:7d:6f:6f,PAL3.0,-59,90,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:6f:6d,eduroam,-59,90,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:70:9e:7f,PAL3.0,-67,72,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:70:9e:7d,eduroam,-68,70,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:71:4d,eduroam,-70,66,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:71:4f,PAL3.0,-70,66,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:71:0f,PAL3.0,-71,63,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:70:9e:72,eduroam,-78,48,  TILE 0, ACC (xy) -1.104126,0.64372253
ec:88:8f:fa:76:ca,HeHeHe,-75,55,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:6f:6b,Purdue Guest Network,-59,90,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:6f:69,attwifi,-59,90,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:6f:64,Purdue Guest Network,-54,99,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:6f:66,attwifi,-57,94,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:70:9e:7b,Purdue Guest Network,-67,72,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:70:9e:79,attwifi,-68,70,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:71:4b,Purdue Guest Network,-70,66,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:71:49,attwifi,-70,66,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:71:0b,Purdue Guest Network,-72,61,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:8b:39,attwifi,-80,44,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:70:9e:74,Purdue Guest Network,-69,68,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:70:9e:76,attwifi,-76,52,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:71:44,Purdue Guest Network,-76,52,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:70:c3:54,Purdue Guest Network,-82,39,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:70:c3:56,attwifi,-82,39,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:6f:60,PAL3.0,-57,94,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:71:0d,eduroam,-72,61,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:70:9e:70,PAL3.0,-69,68,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:71:42,eduroam,-76,52,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:8b:3d,eduroam,-82,39,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:70:c3:50,PAL3.0,-80,44,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:71:02,eduroam,-80,44,  TILE 0, ACC (xy) -1.104126,0.64372253
e4:f4:c6:15:f7:3f,,-85,33,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:71:09,attwifi,-72,61,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:8b:34,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:71:46,attwifi,-76,52,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:8b:3b,Purdue Guest Network,-82,39,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:71:04,Purdue Guest Network,-74,57,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:71:06,attwifi,-81,41,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:71:00,PAL3.0,-75,55,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:71:40,PAL3.0,-76,52,  TILE 0, ACC (xy) -1.104126,0.64372253
f0:25:72:7d:8b:32,eduroam,-83,37,  TILE 0, ACC (xy) -1.104126,0.64372253
00:22:75:43:1e:48,Belkin_N+_431E48,-88,26,  TILE 0, ACC (xy) -1.104126,0.64372253

--------------------
f0:25:72:7d:6f:6f,PAL3.0,-66,74,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:6f:6d,eduroam,-66,74,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:70:9e:7f,PAL3.0,-66,74,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:70:9e:7d,eduroam,-66,74,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:71:4d,eduroam,-68,70,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:71:4f,PAL3.0,-68,70,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:71:0f,PAL3.0,-69,68,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:70:9e:72,eduroam,-70,66,  TILE 0, ACC (xy) -0.2947998,0.524704
ec:88:8f:fa:76:ca,HeHeHe,-69,68,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:6f:6b,Purdue Guest Network,-65,77,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:6f:69,attwifi,-65,77,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:6f:64,Purdue Guest Network,-54,99,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:6f:66,attwifi,-57,94,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:70:9e:7b,Purdue Guest Network,-66,74,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:70:9e:79,attwifi,-66,74,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:71:4b,Purdue Guest Network,-68,70,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:71:49,attwifi,-68,70,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:71:0b,Purdue Guest Network,-69,68,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:8b:39,attwifi,-80,44,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:70:9e:74,Purdue Guest Network,-70,66,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:70:9e:76,attwifi,-70,66,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:71:44,Purdue Guest Network,-76,52,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:70:c3:54,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:70:c3:56,attwifi,-82,39,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:6f:60,PAL3.0,-57,94,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:71:0d,eduroam,-68,70,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:70:9e:70,PAL3.0,-69,68,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:71:42,eduroam,-76,52,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:8b:3d,eduroam,-82,39,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:70:c3:50,PAL3.0,-80,44,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:71:02,eduroam,-80,44,  TILE 0, ACC (xy) -0.2947998,0.524704
e4:f4:c6:15:f7:3f,,-85,33,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:71:09,attwifi,-69,68,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:8b:34,Purdue Guest Network,-54,99,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:71:46,attwifi,-76,52,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:8b:3b,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:71:04,Purdue Guest Network,-72,61,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:71:06,attwifi,-81,41,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:71:00,PAL3.0,-75,55,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:71:40,PAL3.0,-76,52,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:8b:32,eduroam,-83,37,  TILE 0, ACC (xy) -0.2947998,0.524704
00:22:75:43:1e:48,Belkin_N+_431E48,-88,26,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:7d:8b:30,PAL3.0,-80,44,  TILE 0, ACC (xy) -0.2947998,0.524704
f0:25:72:70:c3:52,eduroam,-83,37,  TILE 0, ACC (xy) -0.2947998,0.524704

--------------------
f0:25:72:7d:6f:6f,PAL3.0,-57,94,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:6f:6d,eduroam,-58,92,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:70:9e:7f,PAL3.0,-71,63,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:70:9e:7d,eduroam,-71,63,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:71:4d,eduroam,-70,66,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:71:4f,PAL3.0,-71,63,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:71:0f,PAL3.0,-72,61,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:70:9e:72,eduroam,-70,66,  TILE 0, ACC (xy) 0.4883423,1.6768036
ec:88:8f:fa:76:ca,HeHeHe,-72,61,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:6f:6b,Purdue Guest Network,-58,92,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:6f:69,attwifi,-57,94,  TILE 0, ACC (xy) 0.4883423,1.6768036
