   mean     std    e1    e2
   0.49    0.66  0.50  0.00
   0.53    0.70  0.00  0.00
   0.60    0.66  1.00  0.00
   0.63    0.81 -0.50  0.00
   0.68    0.64  1.50  0.00
   0.75    0.64  2.00  0.00
   0.78    0.79 -1.00  0.00
   0.83    0.67  2.50  0.00
   0.87    0.68  3.00  0.00
   0.90    0.69  3.50  0.00
   0.90    0.77 -1.50  0.00
   0.94    0.71  4.00  0.00
   0.98    0.74  4.50  0.00
   1.02    0.77  5.00  0.00
   1.07    0.75 -2.00  0.00
   1.23    0.78 -2.50  0.00
   1.38    0.84 -3.00  0.00
   1.54    0.88 -3.50  0.00
   1.70    0.95 -4.00  0.00
   1.82    0.98 -4.50  0.00
   2.03    1.01 -5.00  0.00
