   mean     std    e1    e2
   1.98    1.42  1.00  0.00
   1.98    1.42  3.00  0.00
   1.98    1.42  3.50  0.00
   1.98    1.42  0.50  0.00
   1.98    1.42  2.50  0.00
   1.98    1.42  5.00  0.00
   1.98    1.42  4.50  0.00
   1.98    1.42  2.00  0.00
   1.98    1.42  4.00  0.00
   1.98    1.42  1.50  0.00
   2.21    2.03  5.00  0.50
   2.21    2.03  4.50  0.50
   2.22    2.02  4.00  0.50
   2.23    2.02  3.50  0.50
   2.23    2.02  3.00  0.50
   2.24    2.01  2.00  0.50
   2.24    2.01  4.00  1.00
   2.24    2.01  5.00  1.00
   2.24    2.01  4.50  1.00
   2.24    2.01  2.50  0.50
   2.26    2.01  3.50  1.00
   2.28    2.01  2.50  3.00
   2.28    2.01  3.50  1.50
   2.28    2.01  3.00  1.00
   2.28    2.01  3.00  1.50
   2.28    2.01  3.00  4.50
   2.28    2.01  3.00  4.00
   2.28    2.01  3.00  3.50
   2.28    2.01  2.50  3.50
   2.28    2.01  4.50  2.50
   2.28    2.01  4.50  1.50
   2.28    2.01  2.50  1.00
   2.28    2.01  4.50  2.00
   2.28    2.01  1.00  1.50
   2.28    2.01  4.00  2.00
   2.28    2.01  4.00  5.00
   2.28    2.01  4.00  1.50
   2.28    2.01  5.00  2.50
   2.28    2.01  5.00  2.00
   2.28    2.01  5.00  1.50
   2.28    2.01  1.50  2.00
   2.28    2.01  1.50  0.50
   2.28    2.01  2.00  1.00
   2.28    2.01  3.50  5.00
   2.28    2.01  3.50  4.50
   2.28    2.01  2.00  2.50
   2.28    2.01  2.00  3.00
   2.28    2.01  1.00  0.50
   2.28    2.01  3.50  4.00
   2.28    2.01  3.00  2.50
   2.28    2.01  3.00  3.00
   2.28    2.01  3.50  3.50
   2.28    2.01  3.50  3.00
   2.28    2.01  3.50  2.50
   2.28    2.01  3.00  5.00
   2.28    2.01  3.50  2.00
   2.28    2.01  3.00  2.00
   2.28    2.01  4.00  3.00
   2.28    2.01  4.00  2.50
   2.28    2.01  5.00  5.00
   2.28    2.01  1.00  2.00
   2.28    2.01  1.50  5.00
   2.28    2.01  1.50  4.50
   2.28    2.01  1.50  4.00
   2.28    2.01  1.50  3.50
   2.28    2.01  1.50  3.00
   2.28    2.01  1.50  2.50
   2.28    2.01  1.50  1.50
   2.28    2.01  1.50  1.00
   2.28    2.01  2.00  1.50
   2.28    2.01  2.00  2.00
   2.28    2.01  1.00  4.50
   2.28    2.01  1.00  4.00
   2.28    2.01  1.00  3.50
   2.28    2.01  1.00  3.00
   2.28    2.01  1.00  2.50
   2.28    2.01  2.50  5.00
   2.28    2.01  1.00  1.00
   2.28    2.01  2.00  3.50
   2.28    2.01  2.00  4.00
   2.28    2.01  2.00  4.50
   2.28    2.01  2.00  5.00
   2.28    2.01  0.50  2.00
   2.28    2.01  0.50  1.50
   2.28    2.01  0.50  1.00
   2.28    2.01  0.50  0.50
   2.28    2.01  2.50  1.50
   2.28    2.01  2.50  2.00
   2.28    2.01  2.50  2.50
   2.28    2.01  2.50  4.00
   2.28    2.01  2.50  4.50
   2.28    2.01  4.00  4.00
   2.28    2.01  4.50  3.00
   2.28    2.01  4.50  3.50
   2.28    2.01  4.50  4.00
   2.28    2.01  4.50  4.50
   2.28    2.01  4.50  5.00
   2.28    2.01  4.00  3.50
   2.28    2.01  4.00  4.50
   2.28    2.01  5.00  4.50
   2.28    2.01  5.00  4.00
   2.28    2.01  5.00  3.00
   2.28    2.01  5.00  3.50
   2.29    2.01  0.00  4.00
   2.29    2.01 -0.50  5.00
   2.29    2.01  0.00  0.50
   2.29    2.01  0.00  1.00
   2.29    2.01  0.00  1.50
   2.29    2.01  0.00  2.00
   2.29    2.01 -2.00  5.00
   2.29    2.01  0.00  2.50
   2.29    2.01  0.00  3.00
   2.29    2.01 -0.50  4.50
   2.29    2.01  0.00  4.50
   2.29    2.01  0.00  5.00
   2.29    2.01  0.00  3.50
   2.29    2.01 -1.00  2.50
   2.29    2.01 -0.50  4.00
   2.29    2.01 -0.50  3.50
   2.29    2.01 -0.50  3.00
   2.29    2.01 -0.50  2.50
   2.29    2.01 -0.50  2.00
   2.29    2.01 -0.50  1.50
   2.29    2.01 -1.50  3.50
   2.29    2.01 -1.50  4.00
   2.29    2.01 -1.50  4.50
   2.29    2.01 -1.50  5.00
   2.29    2.01 -1.00  5.00
   2.29    2.01 -1.00  4.50
   2.29    2.01 -1.00  4.00
   2.29    2.01 -1.00  3.50
   2.29    2.01 -1.00  3.00
   2.29    2.01  0.50  5.00
   2.29    2.01  0.50  4.50
   2.29    2.01  0.50  4.00
   2.29    2.01  0.50  3.50
   2.29    2.01  0.50  3.00
   2.29    2.01  0.50  2.50
   2.29    2.01  1.00  5.00
   2.31    2.01 -2.00  4.50
   2.32    2.01 -1.50  1.50
   2.32    2.01 -3.50  4.00
   2.32    2.01 -1.50  2.00
   2.32    2.01 -1.50  2.50
   2.32    2.01 -1.50  3.00
   2.32    2.01 -3.50  5.00
   2.32    2.01 -5.00  5.00
   2.32    2.01 -0.50  0.50
   2.32    2.01 -3.00  5.00
   2.32    2.01 -4.00  4.00
   2.32    2.01 -4.00  4.50
   2.32    2.01 -4.00  5.00
   2.32    2.01 -3.00  4.50
   2.32    2.01 -3.00  4.00
   2.32    2.01 -3.00  3.50
   2.32    2.01 -3.00  3.00
   2.32    2.01 -1.00  1.00
   2.32    2.01 -1.00  1.50
   2.32    2.01 -1.00  2.00
   2.32    2.01 -2.00  3.00
   2.32    2.01 -3.50  3.50
   2.32    2.01 -3.50  4.50
   2.32    2.01 -2.50  5.00
   2.32    2.01 -2.50  4.50
   2.32    2.01 -2.50  4.00
   2.32    2.01 -2.50  3.50
   2.32    2.01 -2.00  2.00
   2.32    2.01 -2.00  2.50
   2.32    2.01 -0.50  1.00
   2.32    2.01 -2.00  3.50
   2.32    2.01 -2.00  4.00
   2.32    2.01 -2.50  3.00
   2.32    2.01 -2.50  2.50
   2.32    2.01 -4.50  5.00
   2.32    2.01 -4.50  4.50
   2.33    2.01 -4.00  3.50
   2.33    2.01 -5.00  4.50
   2.33    2.01 -4.50  4.00
   2.36    2.01 -4.00  3.00
   2.36    2.01 -5.00  4.00
   2.36    2.01 -5.00  3.50
   2.36    2.01 -4.50  3.50
   2.36    2.01 -4.50  3.00
   2.36    2.01 -1.50  1.00
   2.36    2.01 -2.50  2.00
   2.36    2.01 -3.50  2.50
   2.36    2.01 -3.00  2.00
   2.36    2.01 -2.00  1.50
   2.36    2.01 -3.50  3.00
   2.36    2.01 -3.00  2.50
   2.37    2.01 -5.00  3.00
   2.37    2.01 -4.00  2.50
   2.37    2.01 -3.50  2.00
   2.37    2.01 -2.50  1.50
   2.37    2.01 -4.50  2.50
   2.38    2.00 -3.00  1.50
   2.38    2.00 -5.00  2.50
   2.38    2.00 -4.00  2.00
   2.38    2.00 -1.00  0.50
   2.38    2.00 -2.00  1.00
   2.40    2.01 -4.50  2.00
   2.40    2.01 -5.00  2.00
   2.40    2.01 -2.50  1.00
   2.40    2.01 -3.50  1.50
   2.41    2.01 -4.50  1.50
   2.41    2.01 -1.50  0.50
   2.41    2.01 -4.00  1.50
   2.41    2.01 -3.00  1.00
   2.43    2.01 -4.50  1.00
   2.43    2.01 -4.00  1.00
   2.43    2.01 -5.00  1.50
   2.43    2.01 -3.50  1.00
   2.43    2.01 -2.00  0.50
   2.47    2.01 -5.00  1.00
   2.47    2.01 -2.50  0.50
   2.49    2.00 -4.50  0.50
   2.49    2.01 -4.00  0.50
   2.49    2.00 -5.00  0.50
   2.49    2.01 -3.50  0.50
   2.49    2.01 -3.00  0.50
   4.00    1.32 -2.00  0.00
   4.00    1.32 -4.00  0.00
   4.00    1.32 -4.50  0.00
   4.00    1.32 -1.00  0.00
   4.00    1.32 -2.50  0.00
   4.00    1.32 -3.50  0.00
   4.00    1.32 -3.00  0.00
   4.00    1.32 -5.00  0.00
   4.00    1.32 -0.50  0.00
   4.00    1.32 -1.50  0.00
   4.39    1.09  2.50 -3.50
   4.39    1.09  2.50 -4.00
   4.39    1.09  2.50 -4.50
   4.39    1.09  2.50 -5.00
   4.39    1.09  4.00 -1.00
   4.39    1.09  4.00 -0.50
   4.39    1.09  2.00 -3.00
   4.39    1.09  2.00 -2.50
   4.39    1.09  2.00 -2.00
   4.39    1.09 -5.00 -4.50
   4.39    1.09  2.00 -1.50
   4.39    1.09  2.00 -1.00
   4.39    1.09  2.00 -0.50
   4.39    1.09  5.00 -4.00
   4.39    1.09  5.00 -3.50
   4.39    1.09  5.00 -3.00
   4.39    1.09  5.00 -2.50
   4.39    1.09  4.50 -5.00
   4.39    1.09  4.50 -4.50
   4.39    1.09  5.00 -0.50
   4.39    1.09  5.00 -1.00
   4.39    1.09  4.50 -4.00
   4.39    1.09  5.00 -1.50
   4.39    1.09  5.00 -2.00
   4.39    1.09  3.00 -0.50
   4.39    1.09  4.50 -3.50
   4.39    1.09  3.50 -0.50
   4.39    1.09  3.50 -1.00
   4.39    1.09  3.50 -1.50
   4.39    1.09  3.50 -2.00
   4.39    1.09  3.50 -2.50
   4.39    1.09  3.50 -3.00
   4.39    1.09  3.00 -2.00
   4.39    1.09  3.00 -1.50
   4.39    1.09  3.00 -1.00
   4.39    1.09  3.00 -2.50
   4.39    1.09  3.50 -3.50
   4.39    1.09  3.50 -4.00
   4.39    1.09  3.50 -4.50
   4.39    1.09  3.50 -5.00
   4.39    1.09  4.50 -3.00
   4.39    1.09  4.50 -0.50
   4.39    1.09  4.50 -2.50
   4.39    1.09  4.50 -2.00
   4.39    1.09  4.50 -1.50
   4.39    1.09  4.50 -1.00
   4.39    1.09  2.50 -0.50
   4.39    1.09  2.50 -2.50
   4.39    1.09  4.00 -1.50
   4.39    1.09  4.00 -2.00
   4.39    1.09  4.00 -2.50
   4.39    1.09  4.00 -3.00
   4.39    1.09  5.00 -4.50
   4.39    1.09  5.00 -5.00
   4.39    1.09  2.50 -2.00
   4.39    1.09  2.50 -1.50
   4.39    1.09  2.50 -1.00
   4.39    1.09  2.50 -3.00
   4.39    1.09  4.00 -3.50
   4.39    1.09  4.00 -4.00
   4.39    1.09  4.00 -4.50
   4.39    1.09  4.00 -5.00
   4.39    1.09  3.00 -5.00
   4.39    1.09  3.00 -4.50
   4.39    1.09  3.00 -4.00
   4.39    1.09  3.00 -3.50
   4.39    1.09  3.00 -3.00
   4.39    1.09 -3.00 -2.50
   4.39    1.09 -2.50 -3.50
   4.39    1.09 -2.50 -4.00
   4.39    1.09 -2.50 -4.50
   4.39    1.09 -2.50 -5.00
   4.39    1.09 -3.00 -0.50
   4.39    1.09 -3.00 -1.00
   4.39    1.09 -3.00 -1.50
   4.39    1.09 -3.00 -2.00
   4.39    1.09 -2.50 -3.00
   4.39    1.09 -3.00 -3.00
   4.39    1.09 -3.00 -3.50
   4.39    1.09 -3.00 -4.00
   4.39    1.09 -3.00 -4.50
   4.39    1.09 -3.00 -5.00
   4.39    1.09 -3.50 -0.50
   4.39    1.09 -3.50 -1.00
   4.39    1.09 -3.50 -1.50
   4.39    1.09 -2.00 -3.50
   4.39    1.09 -1.50 -4.50
   4.39    1.09 -1.50 -5.00
   4.39    1.09 -2.00 -0.50
   4.39    1.09 -2.00 -1.00
