---------------------
========== [FLAGGED] =============
F0-25-72-70-A5-64 = -63
F0-25-72-70-A5-66 = -61
F0-25-72-70-B6-70 = -75
F0-25-72-70-B6-74 = -75
F0-25-72-70-B6-76 = -71
F0-25-72-7D-19-F6 = -79
F0-25-72-7D-6F-60 = -51
F0-25-72-7D-6F-62 = -49
F0-25-72-7D-6F-64 = -45
F0-25-72-7D-6F-66 = -49
F0-25-72-7D-71-00 = -63
F0-25-72-7D-71-02 = -63
F0-25-72-7D-71-04 = -61
F0-25-72-7D-71-06 = -63
F0-25-72-7D-7D-D2 = -69
F0-25-72-7D-7D-D4 = -69
F0-25-72-7D-7D-D6 = -69
F0-25-72-7D-7E-22 = -73
F0-25-72-7D-88-70 = -69
F0-25-72-7D-88-72 = -73
F0-25-72-7D-88-74 = -71
F0-25-72-7D-88-76 = -73
F0-25-72-7D-8B-30 = -51
F0-25-72-7D-CA-A2 = -79
F0-25-72-7D-CA-A6 = -65
F0-25-72-7D-EB-80 = -69
F0-25-72-7D-EB-86 = -67
---------------------
00-22-75-43-1E-48 = -77
56-5A-04-2F-2C-A1 = -53
6C-B0-CE-ED-2B-BB = -61
F0-25-72-70-9E-70 = -63
F0-25-72-70-9E-72 = -63
F0-25-72-70-9E-74 = -61
F0-25-72-70-9E-76 = -61
F0-25-72-70-A5-60 = -71
F0-25-72-70-A5-62 = -63
F0-25-72-70-A5-64 = -63
F0-25-72-70-A5-66 = -61
F0-25-72-70-B6-70 = -75
F0-25-72-70-B6-72 = -73
F0-25-72-70-B6-74 = -75
F0-25-72-70-B6-76 = -73
F0-25-72-7D-19-F2 = -77
F0-25-72-7D-19-F4 = -77
F0-25-72-7D-19-F6 = -75
F0-25-72-7D-56-B0 = -71
F0-25-72-7D-56-B2 = -71
F0-25-72-7D-56-B4 = -71
F0-25-72-7D-6F-60 = -53
F0-25-72-7D-6F-62 = -55
F0-25-72-7D-6F-64 = -51
F0-25-72-7D-6F-66 = -55
F0-25-72-7D-71-00 = -67
F0-25-72-7D-71-04 = -71
F0-25-72-7D-74-60 = -79
F0-25-72-7D-88-70 = -69
F0-25-72-7D-88-76 = -73
F0-25-72-7D-89-40 = -75
F0-25-72-7D-89-44 = -71
F0-25-72-7D-89-46 = -73
F0-25-72-7D-8B-30 = -49
F0-25-72-7D-8B-32 = -51
F0-25-72-7D-8B-34 = -51
F0-25-72-7D-8B-36 = -51
F0-25-72-7D-CA-A2 = -79
F0-25-72-7D-EB-80 = -71
F0-25-72-7D-EB-82 = -69
F0-25-72-7D-EB-84 = -69
F0-25-72-7D-EB-86 = -69
---------------------
00-22-75-43-1F-68 = -73
56-5A-04-2F-2C-A1 = -53
6C-B0-CE-ED-2B-BB = -59
F0-25-72-70-9E-70 = -63
F0-25-72-70-9E-72 = -61
F0-25-72-70-9E-74 = -61
F0-25-72-70-A5-60 = -71
F0-25-72-70-A5-62 = -65
F0-25-72-70-A5-64 = -67
F0-25-72-70-A5-66 = -65
F0-25-72-70-B6-72 = -73
F0-25-72-70-B6-76 = -67
F0-25-72-7D-19-F2 = -77
F0-25-72-7D-19-F4 = -71
F0-25-72-7D-19-F6 = -73
F0-25-72-7D-56-B0 = -73
F0-25-72-7D-56-B2 = -71
F0-25-72-7D-56-B4 = -71
F0-25-72-7D-56-B6 = -71
F0-25-72-7D-6F-60 = -53
F0-25-72-7D-6F-62 = -51
F0-25-72-7D-6F-64 = -51
F0-25-72-7D-6F-66 = -53
F0-25-72-7D-71-00 = -67
F0-25-72-7D-71-02 = -73
F0-25-72-7D-71-04 = -71
F0-25-72-7D-88-70 = -65
F0-25-72-7D-88-74 = -67
F0-25-72-7D-88-76 = -67
F0-25-72-7D-89-44 = -69
F0-25-72-7D-89-46 = -69
F0-25-72-7D-8A-C2 = -71
F0-25-72-7D-8B-34 = -45
F0-25-72-7D-8B-36 = -49
F0-25-72-7D-EB-82 = -69
F0-25-72-7D-EB-86 = -73
---------------------
00-22-75-43-1E-48 = -79
00-22-75-43-1F-68 = -73
56-5A-04-2F-2C-A1 = -63
6C-B0-CE-ED-2B-BB = -53
F0-25-72-70-9E-70 = -69
F0-25-72-70-9E-72 = -69
F0-25-72-70-9E-74 = -69
F0-25-72-70-9E-76 = -69
F0-25-72-70-A5-60 = -67
F0-25-72-70-A5-62 = -67
F0-25-72-70-A5-64 = -65
F0-25-72-70-A5-66 = -67
F0-25-72-70-B6-70 = -67
F0-25-72-70-B6-76 = -67
F0-25-72-7D-56-B0 = -67
F0-25-72-7D-56-B6 = -71
F0-25-72-7D-6F-60 = -57
F0-25-72-7D-6F-62 = -55
F0-25-72-7D-6F-64 = -61
F0-25-72-7D-6F-66 = -57
F0-25-72-7D-71-02 = -75
F0-25-72-7D-88-70 = -65
F0-25-72-7D-88-74 = -67
F0-25-72-7D-88-76 = -67
F0-25-72-7D-89-42 = -77
F0-25-72-7D-89-44 = -69
F0-25-72-7D-89-46 = -69
F0-25-72-7D-8A-C2 = -71
F0-25-72-7D-8B-30 = -47
F0-25-72-7D-8B-34 = -49
F0-25-72-7D-EA-44 = -67
F0-25-72-7D-EB-82 = -69
F0-25-72-7D-EB-86 = -69
---------------------
00-22-75-43-1E-48 = -79
00-22-75-43-1F-68 = -75
56-5A-04-2F-2C-A1 = -61
6C-B0-CE-ED-2B-BB = -57
F0-25-72-70-9E-70 = -69
F0-25-72-70-9E-72 = -69
F0-25-72-70-9E-74 = -69
F0-25-72-70-9E-76 = -69
F0-25-72-70-A5-60 = -67
F0-25-72-70-B6-70 = -67
F0-25-72-70-B6-72 = -73
F0-25-72-70-B6-74 = -73
F0-25-72-70-B6-76 = -73
