   mean     std    e1    e2
   1.65    1.32  1.50 -2.50
   1.65    1.32  3.00 -5.00
   1.65    1.31  2.50 -4.00
   1.67    1.33  2.50 -5.00
   1.67    1.33  0.50 -1.00
   1.67    1.33  1.00 -2.00
   1.67    1.33  1.50 -3.00
   1.67    1.33  2.00 -4.00
   1.67    1.34  2.50 -4.50
   1.67    1.33  1.00 -1.50
   1.67    1.33  3.00 -4.50
   1.67    1.33  2.00 -3.00
   1.67    1.34  2.00 -3.50
   1.68    1.33  3.50 -5.00
   1.69    1.33  3.00 -3.50
   1.70    1.33  3.50 -4.00
   1.70    1.34  2.00 -2.50
   1.70    1.33  4.00 -4.50
   1.70    1.34  4.00 -5.00
   1.70    1.34  2.50 -3.50
   1.70    1.34  3.00 -4.00
   1.70    1.33  4.50 -5.00
   1.70    1.34  3.50 -4.50
   1.70    1.34  1.50 -2.00
   1.70    1.33  2.50 -2.50
   1.70    1.33  3.00 -3.00
   1.70    1.33  5.00 -5.00
   1.70    1.33  3.50 -3.50
   1.70    1.33  2.00 -2.00
   1.70    1.33  1.50 -1.50
   1.70    1.33  1.00 -1.00
   1.70    1.33  0.50 -0.50
   1.70    1.33  4.50 -4.50
   1.70    1.33  4.00 -4.00
   1.71    1.33  2.50 -3.00
   1.71    1.35  1.50 -3.50
   1.71    1.35  2.00 -4.50
   1.71    1.38  5.00 -2.00
   1.71    1.38  2.50 -1.00
   1.72    1.39  4.50 -2.00
   1.72    1.37  5.00 -3.50
   1.72    1.35  3.50 -3.00
   1.72    1.35  3.00 -2.50
   1.73    1.37  1.50 -1.00
   1.73    1.43  4.00 -1.50
   1.73    1.37  4.50 -3.00
   1.73    1.37  3.00 -2.00
   1.73    1.37  2.50 -2.00
   1.73    1.37  5.00 -4.00
   1.73    1.37  3.50 -2.50
   1.73    1.37  4.00 -3.00
   1.73    1.37  2.00 -1.50
   1.73    1.37  4.50 -4.00
   1.73    1.39  3.50 -1.50
   1.73    1.37  5.00 -4.50
   1.73    1.37  4.00 -3.50
   1.73    1.52  2.00 -0.50
   1.73    1.52  4.00 -1.00
   1.73    1.48  5.00 -1.50
   1.74    1.37  2.50 -1.50
   1.74    1.37  4.00 -2.50
   1.74    1.37  5.00 -3.00
   1.74    1.50  3.50 -1.00
   1.74    1.38  3.00 -1.50
   1.74    1.38  1.00 -0.50
   1.74    1.38  5.00 -2.50
   1.74    1.38  2.00 -1.00
   1.74    1.38  4.00 -2.00
   1.75    1.39  4.50 -3.50
   1.75    1.38  4.50 -2.50
   1.75    1.37  1.50 -4.00
   1.75    1.45  4.50 -1.50
   1.75    1.45  3.00 -1.00
   1.75    1.45  1.50 -0.50
   1.75    1.38  3.50 -2.00
   1.75    1.38  2.00 -5.00
   1.75    1.38  1.00 -2.50
   1.76    1.52  4.50 -1.00
   1.77    1.37  1.00 -3.00
   1.77    1.37  0.50 -1.50
   1.77    1.37  1.50 -4.50
   1.81    1.52  5.00 -1.00
   1.81    1.52  2.50 -0.50
   1.83    1.39  1.50 -5.00
   1.85    1.54  3.00 -0.50
   1.87    1.42  1.00 -3.50
   1.87    1.43  0.50 -2.00
   1.87    1.43  1.00 -4.00
   1.87    1.45  0.50 -2.50
   1.87    1.45  1.00 -5.00
   1.89    1.56  3.50 -0.50
   1.89    1.45  1.00 -4.50
   1.89    1.45  0.50 -4.00
   1.89    1.56  4.00 -0.50
   1.90    1.45  0.50 -4.50
   1.90    1.45  0.50 -3.00
   1.91    1.44  0.50 -5.00
   1.91    1.45  0.50 -3.50
   1.95    1.58  4.50 -0.50
   1.95    1.46  0.00 -3.50
   1.95    1.46  0.00 -4.00
   1.95    1.46  0.00 -4.50
   1.95    1.46  0.00 -5.00
   1.95    1.46  0.00 -0.50
   1.95    1.46  0.00 -1.00
   1.95    1.46  0.00 -3.00
   1.95    1.46  0.00 -2.50
   1.95    1.46  0.00 -2.00
   1.95    1.46  0.00 -1.50
   1.97    1.60  5.00 -0.50
   1.99    1.49 -0.50 -5.00
   1.99    1.49 -0.50 -4.50
   1.99    1.52 -0.50 -4.00
   2.01    1.52 -0.50 -3.50
   2.02    1.53 -0.50 -3.00
   2.07    1.56 -1.00 -5.00
   2.07    1.56 -0.50 -2.50
   2.10    1.56 -1.00 -4.50
   2.12    1.57 -1.00 -4.00
   2.12    1.57 -0.50 -2.00
   2.15    1.59 -1.00 -3.50
   2.16    1.58 -1.50 -5.00
   2.19    1.58 -1.50 -4.50
   2.19    1.58 -1.00 -3.00
   2.19    1.58 -0.50 -1.50
   2.21    1.63  4.00  0.00
   2.21    1.63  0.50  0.00
   2.21    1.63  4.50  0.00
   2.21    1.63  5.00  0.00
   2.21    1.63  2.00  0.00
   2.21    1.63  1.00  0.00
   2.21    1.63  3.00  0.00
   2.21    1.63  1.50  0.00
   2.21    1.63  2.50  0.00
   2.21    1.63  3.50  0.00
   2.24    1.59 -1.50 -4.00
   2.27    1.60 -1.00 -2.50
   2.27    1.60 -2.00 -5.00
   2.33    1.60 -1.50 -3.50
   2.34    1.61 -2.00 -4.50
   2.38    1.62 -1.50 -3.00
   2.38    1.62 -1.00 -2.00
   2.38    1.62 -2.00 -4.00
   2.38    1.62 -0.50 -1.00
   2.38    1.62 -2.50 -5.00
   2.41    1.66 -2.50 -4.50
   2.42    1.66 -2.00 -3.50
   2.42    1.63  5.00  0.50
   2.43    1.63  4.50  0.50
   2.43    1.66 -3.00 -5.00
   2.43    1.66 -2.50 -4.00
   2.43    1.66 -1.50 -2.50
   2.45    1.66 -3.50 -5.00
   2.45    1.63  4.00  0.50
   2.47    1.65 -1.00 -1.50
   2.47    1.65 -2.00 -3.00
   2.47    1.65 -3.00 -4.50
   2.48    1.67 -2.50 -3.50
   2.49    1.67 -1.50 -2.00
   2.49    1.67 -3.00 -4.00
   2.51    1.64  3.50  0.50
   2.56    1.62  3.00  0.50
   2.56    1.68 -3.50 -4.50
   2.58    1.63  5.00  1.00
   2.58    1.63  2.50  0.50
   2.60    1.68 -4.00 -5.00
   2.60    1.68 -2.00 -2.50
   2.61    1.64  4.50  1.00
   2.62    1.69 -2.50 -3.00
   2.62    1.70 -3.50 -4.00
   2.63    1.69 -4.00 -4.50
   2.63    1.69 -3.00 -3.50
   2.65    1.64  4.00  1.00
   2.65    1.64  2.00  0.50
   2.66    1.68 -4.50 -5.00
   2.67    1.69 -1.00 -1.00
   2.67    1.69 -2.50 -2.50
   2.67    1.69 -3.00 -3.00
   2.67    1.69 -5.00 -5.00
   2.67    1.69 -2.00 -2.00
   2.67    1.69 -3.50 -3.50
   2.67    1.69 -4.00 -4.00
   2.67    1.69 -1.50 -1.50
   2.67    1.69 -0.50 -0.50
   2.67    1.69 -4.50 -4.50
   2.72    1.63  5.00  1.50
   2.72    1.63  3.50  1.00
   2.75    1.69 -5.00 -4.50
   2.75    1.69 -4.50 -4.00
   2.76    1.63  4.50  1.50
   2.76    1.63  3.00  1.00
   2.76    1.63  1.50  0.50
   2.77    1.69 -4.00 -3.50
   2.78    1.72 -5.00 -4.00
   2.78    1.70 -3.50 -3.00
   2.78    1.72 -2.50 -2.00
   2.78    1.72 -4.50 -3.50
   2.78    1.71 -3.00 -2.50
   2.80    1.73 -4.00 -3.00
   2.80    1.73 -2.00 -1.50
   2.85    1.70 -3.50 -2.50
   2.86    1.69 -5.00 -3.50
   2.89    1.59  4.00  1.50
   2.92    1.59  2.50  1.00
   2.92    1.59  5.00  2.00
   2.92    1.70 -4.00 -2.50
   2.92    1.69 -4.50 -3.00
   2.92    1.69 -1.50 -1.00
   2.92    1.69 -3.00 -2.00
   2.94    1.70 -5.00 -3.00
   2.94    1.70 -2.50 -1.50
   2.94    1.71 -5.00 -2.50
   2.94    1.71 -4.00 -2.00
   2.94    1.71 -1.00 -0.50
   2.94    1.71 -2.00 -1.00
   2.94    1.71 -3.00 -1.50
   2.95    1.70 -4.50 -2.50
   2.95    1.70 -3.50 -2.00
   2.96    1.60  3.50  1.50
   2.98    1.69 -4.50 -2.00
   2.99    1.59  4.50  2.00
   3.00    1.69 -3.50 -1.50
   3.06    1.59  4.00  2.00
   3.06    1.59  2.00  1.00
   3.06    1.59  3.00  1.50
   3.06    1.59  5.00  2.50
   3.06    1.59  1.00  0.50
   3.09    1.70 -5.00 -2.00
   3.09    1.70 -2.50 -1.00
