   mean     std    e1    e2
   1.50    1.58 -3.50  2.00
   1.50    1.58 -4.50  2.50
   1.51    1.59 -5.00  2.00
   1.51    1.58 -3.00  1.50
   1.51    1.59 -4.00  1.50
   1.51    1.58 -5.00  2.50
   1.51    1.59 -2.50  1.00
   1.51    1.58 -1.00  0.50
   1.51    1.58 -4.00  2.00
   1.51    1.58 -2.00  1.00
   1.51    1.26  4.00  0.00
   1.51    1.26  1.50  0.00
   1.51    1.26  5.00  0.00
   1.51    1.26  2.00  0.00
   1.51    1.26  2.50  0.00
   1.51    1.26  3.00  0.00
   1.51    1.26  0.50  0.00
   1.51    1.26  4.50  0.00
   1.51    1.26  1.00  0.00
   1.51    1.26  3.50  0.00
   1.51    1.58 -3.50  1.50
   1.51    1.58 -4.50  2.00
   1.51    1.59 -1.50  0.50
   1.51    1.59 -4.50  1.50
   1.51    1.59 -3.00  1.00
   1.51    1.59 -5.00  1.50
   1.52    1.59 -3.50  1.00
   1.53    1.59 -2.00  0.50
   1.53    1.59 -4.00  1.00
   1.53    1.59 -4.50  1.00
   1.54    1.60 -2.50  0.50
   1.54    1.60 -5.00  1.00
   1.55    1.61 -3.00  0.50
   1.55    1.61 -3.50  0.50
   1.56    1.61 -4.00  0.50
   1.56    1.61 -4.50  0.50
   1.57    1.62 -5.00  0.50
   4.22    1.08 -5.00  0.00
   4.22    1.08 -1.00  0.00
   4.22    1.08 -1.50  0.00
   4.22    1.08 -3.00  0.00
   4.22    1.08 -4.00  0.00
   4.22    1.08 -4.50  0.00
   4.22    1.08 -3.50  0.00
   4.22    1.08 -2.50  0.00
   4.22    1.08 -0.50  0.00
   4.22    1.08 -2.00  0.00
   4.41    1.03  4.00 -3.50
   4.41    1.03  4.00 -4.00
   4.41    1.03  4.00 -3.00
   4.41    1.03  4.00 -2.50
   4.41    1.03  4.50 -5.00
   4.41    1.03  4.00 -2.00
   4.41    1.03  4.00 -4.50
   4.41    1.03  4.00 -1.50
   4.41    1.03  4.00 -1.00
   4.41    1.03  4.00 -0.50
   4.41    1.03  5.00 -4.50
   4.41    1.03  4.00 -5.00
   4.41    1.03  5.00 -5.00
   4.41    1.03  3.50 -0.50
   4.41    1.03  4.50 -3.00
   4.41    1.03  2.00 -3.00
   4.41    1.03  2.00 -2.50
   4.41    1.03  2.00 -2.00
   4.41    1.03  4.50 -0.50
   4.41    1.03  4.50 -1.00
   4.41    1.03  4.50 -1.50
   4.41    1.03  4.50 -2.00
   4.41    1.03  4.50 -2.50
   4.41    1.03  3.50 -2.00
   4.41    1.03  4.50 -3.50
   4.41    1.03 -5.00 -4.50
   4.41    1.03  4.50 -4.00
   4.41    1.03  4.50 -4.50
   4.41    1.03  2.00 -1.50
   4.41    1.03  2.00 -1.00
   4.41    1.03  2.00 -0.50
   4.41    1.03  5.00 -1.00
   4.41    1.03  2.50 -2.00
   4.41    1.03  2.50 -1.50
   4.41    1.03  2.50 -1.00
   4.41    1.03  2.50 -0.50
   4.41    1.03  3.00 -0.50
   4.41    1.03  3.00 -1.00
   4.41    1.03  3.00 -1.50
   4.41    1.03  5.00 -0.50
   4.41    1.03  5.00 -2.50
   4.41    1.03  5.00 -1.50
   4.41    1.03  3.00 -2.00
   4.41    1.03  3.00 -2.50
   4.41    1.03  3.00 -3.00
