   mean     std    e1    e2
   0.51    0.71  0.50  0.00
   0.54    0.70  0.00  0.00
   0.54    0.71  1.00  0.00
   0.61    0.76 -0.50  0.00
   0.62    0.71  1.50  0.00
   0.68    0.69  2.00  0.00
   0.72    0.79 -1.00  0.00
   0.72    0.69  2.50  0.00
   0.76    0.69  3.00  0.00
   0.79    0.68  3.50  0.00
   0.81    0.67  4.00  0.00
   0.81    0.77 -1.50  0.00
   0.84    0.67  4.50  0.00
   0.86    0.68  5.00  0.00
   0.92    0.77 -2.00  0.00
   1.04    0.79 -2.50  0.00
   1.18    0.85 -3.00  0.00
   1.32    0.89 -3.50  0.00
   1.46    0.93 -4.00  0.00
   1.60    1.00 -4.50  0.00
   1.74    1.04 -5.00  0.00
