3365, 0, 35
IMU,-2.68208,1.40983,-1.60721,-1.12144,0.0334491,0.434949,0.914133
IMU,-2.6761,1.40743,-1.65806,-1.12139,0.0344755,0.437087,0.913236
IMU,-2.65247,1.38919,-1.75585,-1.12134,0.034769,0.439393,0.912166
IMU,-2.61898,1.36198,-1.87608,-1.12138,0.034119,0.441588,0.911102
IMU,-2.56993,1.35091,-1.9999,-1.12148,0.0326237,0.443434,0.910087
IMU,-2.51998,1.35629,-2.13029,-1.12166,0.0305116,0.444766,0.909269
IMU,-2.47363,1.36975,-2.2571,-1.1219,0.0282178,0.445415,0.908707
IMU,-2.43864,1.38979,-2.37404,-1.12209,0.0260188,0.445393,0.908566
IMU,-2.40753,1.4188,-2.47153,-1.12213,0.0240021,0.444948,0.908761
IMU,-2.36925,1.4502,-2.56484,-1.1222,0.022026,0.44412,0.90915
IMU,-2.32828,1.48459,-2.642,-1.12221,0.0201781,0.443155,0.909649
IMU,-2.28701,1.51271,-2.68358,-1.12224,0.0184893,0.441856,0.910329
IMU,-2.25889,1.53693,-2.69075,-1.12229,0.0168051,0.440541,0.910926
IMU,-2.25022,1.56205,-2.66174,-1.12237,0.0152093,0.439174,0.911444
IMU,-2.24783,1.59316,-2.61449,-1.12241,0.0136291,0.43811,0.911991
IMU,-2.25291,1.62307,-2.56754,-1.12242,0.0118159,0.437229,0.912473
IMU,-2.2568,1.65237,-2.52836,-1.12223,0.00995036,0.436557,0.912932
IMU,-2.26308,1.69006,-2.49217,-1.12197,0.00790338,0.436005,0.913632
IMU,-2.28701,1.74,-2.43564,-1.12161,0.00575143,0.435499,0.914377
IMU,-2.31392,1.79413,-2.37404,-1.12104,0.00382472,0.434917,0.915269
IMU,-2.35669,1.84886,-2.30076,-1.12049,0.00211203,0.434371,0.916272
IMU,-2.4186,1.89642,-2.19788,-1.11978,0.000877942,0.433852,0.917432
IMU,-2.47811,1.94158,-2.07736,-1.11893,0.000141531,0.433142,0.918704
IMU,-2.54391,1.9658,-1.93769,-1.11819,-0.000310546,0.432338,0.92006
IMU,-2.62974,1.97866,-1.78935,-1.11736,-0.000695478,0.431494,0.921385
IMU,-2.71528,1.98046,-1.6425,-1.11655,-0.00116413,0.430684,0.922706
IMU,-2.80261,1.96879,-1.50344,-1.11568,-0.00198894,0.430026,0.924057
IMU,-2.89562,1.96849,-1.3533,-1.11473,-0.00324391,0.429366,0.925556
IMU,-2.97278,1.9655,-1.2262,-1.11365,-0.00487161,0.428853,0.92705
IMU,-3.03379,1.95085,-1.13139,-1.11243,-0.0070095,0.428655,0.928598
IMU,-3.07775,1.93889,-1.05901,-1.11111,-0.00942449,0.42859,0.930264
IMU,-3.10587,1.94935,-1.00219,-1.10959,-0.0121332,0.428653,0.932015
IMU,-3.0951,1.98345,-0.970789,-1.10778,-0.0149284,0.428689,0.934047
IMU,-3.06071,2.02053,-0.951947,-1.10576,-0.0178628,0.428535,0.93643
IMU,-3.03199,2.05552,-0.929218,-1.10357,-0.0205111,0.428208,0.939099
IMU,-3.00418,2.09141,-0.89303,-1.10124,-0.0227991,0.42786,0.941938
IMU,-2.98683,2.13717,-0.828729,-1.09894,-0.0243292,0.427614,0.944812
IMU,-2.99012,2.159,-0.74469,-1.09655,-0.0247092,0.427476,0.947589
IMU,-2.9982,2.14883,-0.65108,-1.09399,-0.0238096,0.427816,0.950371
IMU,-2.99102,2.10517,-0.547302,-1.09154,-0.0217364,0.42846,0.953003
IMU,-2.97368,2.01784,-0.490479,-1.08904,-0.0187295,0.429401,0.955507
IMU,-2.94975,1.89163,-0.508722,-1.08667,-0.0153715,0.43036,0.957775
IMU,-2.90698,1.7409,-0.600238,-1.08448,-0.0128389,0.431409,0.959749
IMU,-2.8358,1.60662,-0.723456,-1.08249,-0.0118921,0.43267,0.961473
IMU,-2.75206,1.5136,-0.84129,-1.08078,-0.0125217,0.43411,0.96278
IMU,-2.66743,1.46127,-0.971686,-1.07923,-0.0144322,0.435523,0.963788
IMU,-2.58668,1.43495,-1.10627,-1.07779,-0.0168654,0.436858,0.964822
IMU,-2.49307,1.4182,-1.23636,-1.07641,-0.0194815,0.437959,0.965818
IMU,-2.40334,1.40504,-1.35928,-1.07494,-0.0219742,0.438941,0.967008
IMU,-2.34503,1.39876,-1.48579,-1.07334,-0.024053,0.439766,0.968304
IMU,-2.31392,1.39607,-1.60991,-1.07152,-0.0256828,0.440366,0.96998
IMU,-2.2891,1.37872,-1.70352,-1.06957,-0.0266009,0.44081,0.971879
IMU,-2.27474,1.36855,-1.76512,-1.06747,-0.0268813,0.440947,0.974117
IMU,-2.2577,1.36467,-1.79832,-1.06531,-0.0265781,0.441066,0.976469
IMU,-2.23796,1.37005,-1.81567,-1.0631,-0.0257606,0.440997,0.978967
IMU,-2.20327,1.36586,-1.8387,-1.0609,-0.0245426,0.440676,0.98154
