0.000000,0.000000,x = 0,1.895894,y = 0,0.026981,x = 0,1.895894,y = 0,0.026981,x = 0,4.478521,y = 2,0.064457,x = 0,5.103198,y = 5,0.061981,x = 0,0.500000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,0.000000,x = 0,236.944214,y = 0,1.053077,x = 0,236.944214,y = 0,1.053077,x = 0,475.896851,y = 0,2.115082,x = 0,48.031319,y = 4,0.094287,x = 0,0.500000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,0.000000,x = 0,4.623310,y = 0,0.040382,x = 0,4.623310,y = 0,0.040382,x = 0,10.239423,y = 2,0.090649,x = 0,5.142161,y = 6,0.062103,x = 0,0.500000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,0.000000,x = 0,6.818546,y = 0,0.048636,x = 0,6.818546,y = 0,0.048636,x = 0,14.843235,y = 1,0.106939,x = 0,6.341614,y = 5,0.066551,x = 0,0.500000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,0.000000,x = 0,19.777313,y = 0,0.127047,x = 0,19.777313,y = 0,0.127047,x = 0,40.852608,y = 1,0.263264,x = 0,6.995322,y = 4,0.068920,x = 0,0.500000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,0.000000,x = 0,4.927737,y = 0,0.029375,x = 0,4.927737,y = 0,0.029375,x = 0,11.445681,y = 2,0.069148,x = 0,6.562688,y = 5,0.065872,x = 0,0.500000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,0.000000,x = 0,12.456540,y = 0,0.075452,x = 0,12.456540,y = 0,0.075452,x = 0,26.334999,y = 1,0.160299,x = 0,6.693283,y = 5,0.067414,x = 0,0.500000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,0.000000,x = 0,36.992470,y = 0,0.219997,x = 0,36.992470,y = 0,0.219997,x = 0,75.394241,y = 0,0.449067,x = 0,9.672691,y = 5,0.076457,x = 0,0.500000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,0.000000,x = 0,213.930801,y = 0,0.950804,x = 0,213.930801,y = 0,0.950804,x = 0,429.871063,y = 0,1.910538,x = 0,41.418697,y = 5,0.087104,x = 0,0.500000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,0.000000,x = 0,inf,y = 0,5698750513152.000000,x = 0,inf,y = 0,5698750513152.000000,x = 0,inf,y = 0,11397501026304.000000,x = 0,115.931404,y = 4,0.105269,x = 0,0.500000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,0.000000,x = 0,942.328247,y = 0,4.188126,x = 0,942.328247,y = 0,4.188126,x = 0,1886.658691,y = 0,8.385150,x = 0,53.742397,y = 4,0.098579,x = 0,0.500000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,0.000000,x = 0,12.538711,y = 0,0.217452,x = 0,12.538711,y = 0,0.217452,x = 0,25.596111,y = 0,0.443978,x = 0,6.557642,y = 5,0.071213,x = 0,0.500000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,0.000000,x = 0,5.529438,y = 0,0.095835,x = 0,5.529438,y = 0,0.095835,x = 0,11.591701,y = 1,0.200984,x = 0,6.264112,y = 5,0.069936,x = 0,0.500000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,0.000000,x = 0,1592.280273,y = 0,26.230978,x = 0,1592.280273,y = 0,26.230978,x = 0,3185.087646,y = 0,52.470852,x = 0,7.821868,y = 5,0.076859,x = 0,0.500000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,1.000000,x = 0,11182688.000000,y = 1,130401.617188,x = 0,11182688.000000,y = 1,130401.617188,x = 0,22365376.000000,y = 1,260803.203125,x = 0,7.807424,y = 5,0.080509,x = 0,0.500000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,1.000000,x = 0,inf,y = 1,15077147648.000000,x = 0,inf,y = 1,15077147648.000000,x = 0,inf,y = 1,30154295296.000000,x = 0,inf,y = 3,0.207130,x = 0,1.000000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,1.000000,x = 0,inf,y = 1,6981150.000000,x = 0,inf,y = 1,6981150.000000,x = 0,inf,y = 1,13962299.000000,x = 0,inf,y = 4,0.139680,x = 0,1.000000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,1.000000,x = 0,inf,y = 1,2839594401792.000000,x = 0,inf,y = 1,2839594401792.000000,x = 0,inf,y = 1,5679188803584.000000,x = 0,inf,y = 3,0.152402,x = 0,1.000000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,1.000000,x = 0,inf,y = 1,38278733824.000000,x = 0,inf,y = 1,38278733824.000000,x = 0,inf,y = 1,76557467648.000000,x = 0,inf,y = 4,0.134014,x = 0,1.000000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
0.000000,1.000000,x = 0,inf,y = 1,4175161088.000000,x = 0,inf,y = 1,4175161088.000000,x = 0,inf,y = 1,8350322176.000000,x = 0,inf,y = 4,0.131326,x = 0,1.000000,y = -2147483648,inf,x = -2147483648,inf,y = -2147483648,inf
