f0:25:72:7d:71:49,attwifi,-75,55,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:71:4d,eduroam,-74,57,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:71:4b,Purdue Guest Network,-74,57,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:71:4f,PAL3.0,-75,55,  TILE 0, ACC (xy) -0.46203613,0.8255615
ec:88:8f:fa:76:ca,HeHeHe,-77,50,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:6f:64,Purdue Guest Network,-54,99,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:6f:6b,Purdue Guest Network,-57,94,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:6f:6f,PAL3.0,-57,94,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:6f:6d,eduroam,-57,94,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:6f:69,attwifi,-56,96,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:8b:39,attwifi,-83,37,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:71:06,attwifi,-80,44,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:71:44,Purdue Guest Network,-76,52,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:8b:32,eduroam,-77,50,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:71:02,eduroam,-80,44,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:8b:34,Purdue Guest Network,-80,44,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:6f:60,PAL3.0,-54,99,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:70:9e:70,PAL3.0,-69,68,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:8b:36,attwifi,-80,44,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:71:40,PAL3.0,-76,52,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:8b:3f,PAL3.0,-83,37,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:56:b4,Purdue Guest Network,-85,33,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:70:a5:64,Purdue Guest Network,-89,24,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:7d:6f:62,eduroam,-54,99,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:70:9e:72,eduroam,-69,68,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:70:a5:60,PAL3.0,-88,26,  TILE 0, ACC (xy) -0.46203613,0.8255615
f0:25:72:70:c3:54,Purdue Guest Network,-87,28,  TILE 0, ACC (xy) -0.46203613,0.8255615

--------------------
f0:25:72:70:9e:7f,PAL3.0,-71,63,  TILE 0, ACC (xy) -0.514801,0.957901
f0:25:72:7d:8b:3d,eduroam,-83,37,  TILE 0, ACC (xy) -0.514801,0.957901
f0:25:72:7d:71:0f,PAL3.0,-76,52,  TILE 0, ACC (xy) -0.514801,0.957901
